Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,418,67,1
1,2,1,348.45,132.2,2
1,3,-1,340.85,156.41,3
1,4,-1,333.92,134.86,4
1,5,-1,300.54,236.82,5
1,6,-1,321.85,136.47,6
1,7,-1,344.41,145.75,7
1,8,-1,148.3,168.75,8
1,9,-1,292.47,250.86,9
1,10,-1,330.09,147.89,10
1,11,-1,289.46,234.32,11
1,12,-1,300.22,251.56,12
1,13,-1,318.53,126.13,13
1,14,-1,332.72,123.3,14
2,1,1,418,67,1
2,2,1,326.82,124.61,2
2,3,-1,319.6,150,3
2,4,1,313.68,127.86,4
2,5,-1,280.53,230.77,5
2,6,-1,300.53,129.71,6
2,7,-1,323,138.97,7
2,8,1,127.31,162.01,8
2,9,-1,271.14,244.27,9
2,10,-1,309.06,141.29,10
2,11,1,268.45,229.68,11
2,12,1,278.64,245.07,12
2,13,1,300.52,118.66,13
2,14,1,313,115,14
3,1,1,418,67,1
3,2,1,335.74,130.56,2
3,3,-1,328.33,154.06,3
3,4,1,320.88,131.32,4
3,5,-1,288.24,235.2,5
3,6,-1,308.71,134.53,6
3,7,-1,332.11,143.56,7
3,8,-1,136.48,165.93,8
3,9,1,280.42,247.7,9
3,10,-1,317.55,145.68,10
3,11,1,278,234,11
3,12,1,288.37,249.98,12
3,13,-1,307.83,122.09,13
3,14,1,324,119,14
4,1,1,418,67,1
4,2,1,336.95,130.04,2
4,3,-1,330.66,154.84,3
4,4,-1,322.15,131.82,4
4,5,-1,290.6,235.82,5
4,6,-1,309.59,135.52,6
4,7,-1,332.41,144.4,7
4,8,-1,138.95,167.03,8
4,9,-1,283.67,248.97,9
4,10,-1,319.6,146.44,10
4,11,1,279.77,233,11
4,12,-1,309.25,123.6,13
4,13,-1,322.94,119.76,14
5,1,1,418,67,1
5,2,1,335.15,130.82,2
5,3,-1,329.35,155.58,3
5,4,-1,319.34,131.92,4
5,5,-1,289.5,235.63,5
5,6,-1,307.63,137.79,6
5,7,-1,333.37,146.15,7
5,8,-1,136.4,167.45,8
5,9,-1,279.97,249.51,9
5,10,-1,318.17,147.33,10
5,11,1,277.01,234.08,11
5,12,-1,308.45,123.98,13
5,13,-1,323.98,119.88,14
6,1,1,418,67,1
6,2,-1,342.77,130.86,2
6,3,-1,334.37,153.69,3
6,4,-1,324.2,130.33,4
6,5,-1,293.39,234.14,5
6,6,-1,311.85,136.52,6
6,7,-1,336.28,141.96,7
6,8,-1,141.71,164.82,8
6,9,-1,286.68,247.61,9
6,10,-1,323.49,144.8,10
6,11,-1,282.33,231.28,11
6,12,-1,313.36,123.79,13
6,13,-1,327.68,117.77,14
7,1,1,418,67,1
7,2,-1,358.44,131.21,2
7,3,-1,348.84,156.67,3
7,4,-1,338.84,131.72,4
7,5,-1,308.86,236.97,5
7,6,-1,326.21,139.55,6
7,7,-1,353.17,145.05,7
7,8,-1,157.43,167.21,8
7,9,-1,302.76,249.42,9
7,10,-1,337.88,149.79,10
7,11,1,297.35,234.23,11
7,12,-1,327.99,125.13,13
7,13,-1,344.33,119.77,14
7,14,-1,16.818,67.873,15
7,15,-1,7.973,77.297,16
7,16,-1,146.46,162.19,17
7,17,-1,344.31,139.12,18
8,1,1,418,67,1
8,2,-1,351.61,128,2
8,3,-1,343.26,153.32,3
8,4,-1,329.58,126.37,4
8,5,-1,302.57,231.9,5
8,6,-1,318.94,135.71,6
8,7,-1,344.26,140.14,7
8,8,-1,150.2,163.85,8
8,9,-1,294.69,245.69,9
8,10,-1,330.36,145,10
8,11,-1,291.23,228.86,11
8,12,-1,318.31,120.19,13
8,13,-1,338.31,115.78,14
8,14,-1,8.5221,62.726,15
8,15,-1,139.31,157.23,17
8,16,-1,336.44,133.57,18
9,1,1,418,67,1
9,2,1,349.43,127.97,2
9,3,-1,342.18,149.25,3
9,4,-1,324,122,4
9,5,-1,299.28,229.48,5
9,6,-1,316.99,134.43,6
9,7,-1,341.34,137.43,7
9,8,-1,148.11,161.85,8
9,9,-1,292.32,243.39,9
9,10,-1,328.13,142.93,10
9,11,-1,288.07,227.57,11
9,12,-1,311.37,120.64,13
9,13,-1,337.77,113.09,14
9,14,1,7.6076,62.082,15
9,15,-1,136.25,154.7,17
9,16,-1,332.53,129.51,18
10,1,1,418,67,1
10,2,-1,349.54,123.66,2
10,3,1,342.65,148.91,3
10,4,-1,324.92,118.11,4
10,5,-1,300.47,229.06,5
10,6,-1,318.4,132.93,6
10,7,-1,341.54,137.24,7
10,8,-1,149.13,160.91,8
10,9,-1,292.71,242.59,9
10,10,-1,328.49,143.64,10
10,11,-1,289.36,226.15,11
10,12,-1,312.99,119.75,13
10,13,-1,337.61,110.75,14
10,14,-1,5.9759,59.205,15
10,15,-1,137.58,153.03,17
10,16,-1,334.29,127.7,18
10,17,1,6.3311,46.426,19
11,1,1,418,67,1
11,2,-1,349.9,125.54,2
11,3,-1,340.83,151.59,3
11,4,-1,325.12,119.01,4
11,5,-1,299.08,230.18,5
11,6,-1,316.53,135.6,6
11,7,-1,340.49,138.91,7
11,8,-1,148.94,162.6,8
11,9,-1,292.41,243.27,9
11,10,-1,328.34,142.25,10
11,11,-1,288.15,226.92,11
11,12,-1,310.29,121.45,13
11,13,-1,338.56,111,14
11,14,1,6.9857,61.564,15
11,15,-1,135.19,154.22,17
11,16,-1,334.87,130.07,18
11,17,-1,5.2,46.633,19
11,18,-1,317.38,113.26,20
12,1,1,418,67,1
12,2,-1,348.72,125.23,2
12,3,-1,340.69,150.96,3
12,4,-1,325.56,117.46,4
12,5,-1,299.24,229.83,5
12,6,-1,314.19,136.71,6
12,7,-1,340.43,138.43,7
12,8,-1,147.4,162.94,8
12,9,-1,290.94,243.49,9
12,10,1,327.67,141.51,10
12,11,1,288,229,11
12,12,1,306.33,125.22,13
12,13,-1,336.43,110.26,14
12,14,1,7.1287,59.663,15
12,15,-1,134.71,153.87,17
12,16,-1,334.05,129.07,18
12,17,1,4.9647,47.729,19
12,18,-1,312.96,115.48,20
12,19,1,324.71,129.08,21
12,20,1,351.41,113.92,22
13,1,1,418,67,1
13,2,-1,349.69,124.45,2
13,3,-1,343.6,150.16,3
13,4,1,326.79,116.9,4
13,5,-1,300.2,229.54,5
13,6,-1,315.65,136.35,6
13,7,-1,342.29,137.75,7
13,8,-1,149.65,161.11,8
13,9,-1,292.8,242.07,9
13,10,-1,327.78,141.15,10
13,11,-1,288.76,226.47,11
13,12,-1,306.14,125.7,13
13,13,-1,339.43,109.83,14
13,14,1,6.9,61.71,15
13,15,-1,136.48,153.67,17
13,16,-1,335.02,128.28,18
13,17,-1,5.6724,47.345,19
13,18,-1,314.21,112.14,20
13,19,-1,324.85,128.17,21
13,20,-1,356.3,113.22,22
13,21,-1,316.15,123.26,23
14,1,1,418,67,1
14,2,-1,348.33,123.76,2
14,3,-1,340.8,150.11,3
14,4,-1,323.4,113.13,4
14,5,-1,298.41,227.99,5
14,6,-1,314.95,135.42,6
14,7,-1,342.04,136.93,7
14,8,1,148.53,159.87,8
14,9,-1,291.99,240.94,9
14,10,-1,328.13,138.76,10
14,11,-1,287.74,224.41,11
14,12,-1,304.82,123.21,13
14,13,-1,338.01,108.15,14
14,14,1,5.5287,58.448,15
14,15,-1,134.45,152.01,17
14,16,-1,332.63,122.22,18
14,17,1,4.5309,46.012,19
14,18,-1,311.78,110.24,20
14,19,1,322.19,124.69,21
14,20,-1,356.91,111.33,22
14,21,-1,313.97,120.08,23
14,22,1,144.5,148.5,24
15,1,1,418,67,1
15,2,-1,347.91,126.6,2
15,3,-1,340.04,152.2,3
15,4,-1,322.59,114.87,4
15,5,-1,298.26,230.9,5
15,6,-1,312.79,139.88,6
15,7,-1,343.36,139.93,7
15,8,-1,147.91,162.3,8
15,9,-1,291.11,243.75,9
15,10,-1,327.83,143.31,10
15,11,-1,287.97,227.05,11
15,12,-1,304.3,126.96,13
15,13,-1,337.81,110.87,14
15,14,1,5.0978,61.967,15
