R2all,d2,k2,k3,k7
0.852970499,2.013342671,0.000303354,0.000459727,11.15200167
0.8527907,11.27020723,0.000320959,0.002420472,1.20960879
0.852662002,5.282375695,0.000899808,0.000406724,1.835439188
0.852554518,1.171149352,0.000285463,0.000284381,8.211299874
0.852498352,7.621894924,0.000264332,0.001992049,1.316961156
0.852469694,1.287289578,0.000256065,0.000348418,3.004518413
0.852375193,3.737713889,0.000733415,0.000353753,24.75084599
0.852206182,7.289750575,0.000879934,0.000491021,18.91896913
0.852167373,4.000815089,0.000226804,0.001220956,1.227429496
0.852097775,19.92276956,0.000163061,0.008470324,25.9138049
0.851918932,22.25890852,0.000839363,0.001563508,2.721389102
0.85186055,5.984662118,0.00061045,0.000578762,1.316065612
0.851843619,1.377434531,0.000545821,0.000149314,1.970660603
0.851812473,19.53360532,0.000837819,0.001619198,15.34809616
0.85167079,8.301158395,0.000364712,0.00134555,9.988357935
0.851582988,7.713169613,0.000168248,0.00270832,8.679385719
0.851477118,1.917762686,0.000420678,0.000316446,1.599250846
0.851442632,2.196504019,0.000162536,0.00093821,8.828249438
0.851219717,3.545770928,0.000540692,0.000454883,1.009397172
0.851124551,15.39514985,0.000778485,0.001162251,1.41302347
0.85105871,3.540950262,0.000569443,0.000432414,15.35854009
0.850919512,19.11299879,0.000442232,0.002546244,4.397566852
0.850913661,6.206472472,0.000156009,0.00234801,24.83517182
0.850760451,5.389448191,0.000182075,0.002055417,2.962911453
0.850582953,23.29685461,0.000302169,0.005356733,12.06763147
0.850527904,2.491914865,0.000371321,0.000466767,4.694325269
0.850047321,1.400106746,0.000114117,0.000722936,12.34998594
0.850047206,26.58334295,0.000262997,0.006951844,1.05252077
0.850032776,1.113276843,0.000399163,0.000194223,22.09297483
0.84992324,10.00195613,0.000149194,0.003947299,10.79008211
0.849873727,6.074897709,0.0001622,0.002603155,2.318559419
0.849797725,2.531208724,0.000667806,0.000223512,16.22301568
0.849547522,18.85473129,0.000432663,0.002565075,14.00618795
0.849170129,1.909301908,0.000566957,0.000198198,2.244840962
0.84888738,24.9028393,0.000170982,0.00851334,2.343932054
0.8483254,4.241846661,0.000132755,0.0018737,1.743554267
0.848189458,8.116890748,0.000400452,0.001414816,7.658274466
0.848030785,2.094364678,0.000250755,0.000490343,7.668700477
0.847825054,2.333591104,0.000285792,0.000478961,2.230380954
0.84777905,7.043584744,0.000305176,0.001612501,24.25086982
0.847760167,6.223383018,0.000676317,0.000643428,16.03649214
0.84772395,7.434982867,0.000296176,0.001752669,5.209224673
0.847643773,1.831074502,0.000277428,0.000387168,3.753000307
0.847401486,1.064762843,0.000215948,0.000344588,3.598009422
