R2all,d2,k2,k3
0.872189674,15.06877876,0.000102176,0.008828766
-13.06247667,2.323295777,0.000361701,0.001188229
0.630648029,24.11105502,0.000166552,0.006466957
-76.51440144,1.163605464,0.00055265,0.000743533
-1.556951159,13.38672177,0.000314159,0.000394912
-0.365711937,1.68984143,0.000303494,0.000545632
-2.281263627,24.98768297,0.00020785,0.000247229
-0.426889397,4.64666983,0.000553286,0.000194581
-0.859236292,26.14397984,0.000753269,0.000601312
-0.364021483,5.37663205,0.0002298,0.000563767
-0.831522861,2.634862699,0.000202418,0.000230091
0.869522827,3.40396605,0.000202838,0.00105901
0.689309045,20.23692255,0.000245895,0.003850348
0.2637255,1.086345332,0.000266226,0.000143252
-1.957027734,7.457776796,0.000324751,0.000118713
0.85324592,22.19842529,0.000726524,0.00172068
-0.523906305,11.20523052,0.000377181,0.002979202
-10.00176001,6.210695796,0.000356656,0.002969614
-1.666238611,22.2059767,0.000430477,0.000418697
-1.68304553,2.49530737,0.000157163,0.000126096
-2.065834871,23.79334168,0.000107189,0.000911381
0.717259217,1.6255741,0.0001736,0.000448642
-2.238747094,12.93466879,0.000276662,0.000114789
-260.3348589,6.221266683,0.000498024,0.007466207
-3.026892557,9.013325085,0.000542563,0.002103294
0.051787182,9.214808692,0.000134416,0.00624741
0.131743741,20.66819837,0.000229747,0.008063062
-0.058966323,7.840126385,0.000215849,0.003381427
-569.6595776,1.970660603,0.000873474,0.001927081
0.258860958,2.757727908,0.000154223,0.000625893
-2.017304413,25.07281571,0.00024703,0.000464622
-1.386555085,4.489757556,0.000227117,0.000219735
-0.511796216,2.963919369,0.000315537,0.000206205
-1.180451024,23.13891799,0.00087448,0.002874088
-554.9795149,2.670954405,0.000609607,0.00369743
-1156.129038,1.101600437,0.000226908,0.00577963
-131.1765497,1.266013565,0.000190261,0.0029451
0.553711204,2.067470131,0.000515051,0.000169629
-693.7206981,3.419050201,0.000750153,0.004266778
0.006777003,6.317217998,0.000364376,0.001594043
-2.385041937,27.53112403,0.000190831,0.00015787
-2.102781391,15.19228671,0.000153692,0.000370595
-0.002839181,2.049964975,0.000548088,0.000112021
-0.245188435,1.976029989,0.000727194,0.000261276
0.477514642,24.25911942,0.000409779,0.002376293
-19.87683856,5.207453214,0.000295972,0.003735081
0.514009132,21.97307327,0.000272992,0.006514784
-5.919329319,1.947340561,0.000118291,0.002429405
