R2all
-50527880439
-183.8102581
-40265771.73
-2.010935262
-81066.25755
-2.565165542
-2.49253614
-16883661479
-28516.53977
-27841666.9
-2.083903487
-53617444.41
-861.871075
-941.2011173
-279.791865
0.768819582
-12294888368
-17003835.76
0.213556506
-18.14281623
-2.483126653
-15526603692
-2.020678415
-4359997.448
-0.875523822
-2.419219675
-2.496446971
-15193.64298
-38.53130402
-1023732.968
-2.433754964
-2.475131495
-2.234865353
-4935418.199
-33158794320
-1906061.575
-0.346994168
-2.48219816
-121072024
-9166850.105
-2676735883
-2.484017571
-53.17542953
-690.8457997
-1.970059751
-2777058065
-2.375541963
-175.3100906
-70380222729
0.870894955
-46814732972
-0.107151653
-13050575044
-0.037382674
-62.19007947
-5511.431959
-2.465891203
-373602487.1
-5284006092
-1027.601172
-1.410466202
-2.494673098
-5282.166745
-292.9868248
-88153081508
-31141816196
-49042226686
-108.225237
-293970062.5
-368.3237194
-60778957074
-9557.441879
-2.447051623
-2.476345806
-650407401.6
-2.488310726
-0.75964756
-942253.2483
-20044069.51
-46073525445
-2.464236817
-2.280051288
-2.153591589
-63609303491
-1.649712572
-578.1140664
-791251411.6
-704783.0887
-3.169074244
-59342643195
-1112243.583
-2.352448611
-760903582
0.707438417
-78944386320
-9969.578394
0.852437664
-22674072.15
-528.61639
-58619852665
-122982.4157
-2.401746662
-385.4584186
-60532.67115
-307149.2901
-2.490272176
0.666914758
-1259530.015
-2.380752809
-3402183.928
-13.1937221
-7662352101
-2.479171105
-9.369984995
-1521.840665
-446414.6952
-23.10226214
-47.82871731
-1986648.324
-483.206773
-1.786457494
-81170397756
-74192763540
-1.562080712
-2.496080822
-3849024704
-87472510.7
-25647222.79
-2.477511027
-3033.56024
-35157.40269
-798200.7301
-2.461623886
-2.494231996
-91105270.52
-211268.9884
-72944611377
-2.491165335
-1309161957
-1914380952
-0.340272959
-16526.69797
-1.038606256
-38761882679
-6270935484
-2.21203848
-1426275.654
-2.489321856
-1208390.052
-15970214109
-5143583.152
-30.84306257
-2.039616141
-2.057843017
-1.743290651
-2.494004504
-2.429204333
-88.76794481
-2.485286793
0.275634492
-2.491730723
-8.102405825
-88116.9574
-2.487234907
-982150.2318
-133664.7921
0.620981034
-47556715752
-6067529.839
-2.463383713
-18461759.61
-2.317796443
-11265024.92
-306.7706617
-1.212416867
-420990932.7
-65803.11148
-0.072306812
0.869282726
-0.958691256
-2245.833497
-14.08524024
-4595832865
-7458392.598
-2.487600951
-2.457879206
-45185.298
-2.001005033
-144.8428683
-10884671319
-2142365703
-67054571694
-1.902675068
-5062.323992
-16.01122695
-23100755785
-6531.001189
-66374550100
-1.368855243
0.376593598
-305976308.4
-1.164555073
-76020467335
-1.563871834
-1212353639
-2.485692682
-31488166.96
-1312829.695
0.51164376
-622280.1748
-2.488654761
-2.372856052
-0.964631125
-0.607084504
-2.478075846
-2.422685036
-58057.35047
-505640.6303
-2.397408206
-63133148.4
-2.399599551
-221957639.3
-131.5282837
-2.284589237
-4091.51264
-1.713196214
-84518.35465
-765763.487
-19322467997
0.742844396
-10399.31804
-41657531944
-2.490576073
-60607748.36
-54967528385
-178880.858
-2.293397121
-2.229327064
-1.95934888
-2.486090272
0.298916868
-25147.52651
-32480696523
-85803619277
-2308272991
-18320552717
-6.441381935
-36659.72435
-513332474.7
-3166.294672
-5.477787092
-89048777994
-67729843468
0.821082638
-2.492793696
-24615417.31
-17832795595
-1.150440987
-2223866443
-1.853384718
-1166559050
-5103899868
-91868.2703
-1.77232685
-2766512.512
-6708428071
-3455581858
-1683352.052
-102924137.1
-572707.2075
-2.305964186
-56435327420
-211.685973
-889484340.8
-320183.2981
