chz1 100,chz1 100
0.007214374,0
0.007220319,0
0.007226268,0
0.007232221,0
0.007238177,0
0.007244136,0
0.0072501,0
0.007256066,0
0.007262037,0
0.007268011,0
0.007273989,0
0.007279971,0
0.007285956,0
0.007291945,0
0.007297938,0
0.007303935,0
0.007309935,0
0.00731594,0
0.007321948,0
0.00732796,0
0.007333976,0
0.007339996,0
0.00734602,0
0.007352047,0
0.007358079,0
0.007364115,0
0.007370154,0
0.007376198,0
0.007382246,0
0.007388298,0
0.007394353,0
0.007400413,0
0.007406477,0
0.007412546,0
0.007418618,0
0.007424695,0
0.007430775,0
0.00743686,0
0.007442949,0
0.007449043,0
0.00745514,0
0.007461242,0
0.007467349,0
0.007473459,0
0.007479574,0
0.007485693,0
0.007491817,0
0.007497945,0
0.007504077,0
0.007510214,0
0.007516355,0
0.007522501,0
0.007528651,0
0.007534806,0
0.007540965,0
0.007547129,0
0.007553297,0
0.00755947,0
0.007565648,0
0.00757183,0
0.007578016,0
0.007584208,0
0.007590404,0
0.007596604,0
0.00760281,0
0.00760902,0
0.007615235,0
0.007621454,0
0.007627678,0
0.007633908,0
0.007640142,0
0.00764638,0
0.007652624,0
0.007658872,0
0.007665126,0
0.007671384,0
0.007677647,0
0.007683915,0
0.007690188,0
0.007696466,0
0.007702749,0
0.007709036,0
0.007715329,0
0.007721627,0
0.00772793,0
0.007734238,0
0.007740551,0
0.007746869,0
0.007753193,0
0.007759521,0
0.007765855,0
0.007772194,0
0.007778537,0
0.007784887,0
0.007791241,0
0.007797601,0
0.007803965,0
0.007810335,0
0.007816711,0
0.007823092,0
0.007829478,0
0.007835869,0
0.007842266,0
0.007848668,0
0.007855075,0
0.007861488,0
0.007867906,0
0.00787433,0
0.007880759,0
0.007887193,0
0.007893634,0
0.007900079,0
0.00790653,0
0.007912987,0
0.007919449,0
0.007925917,0
0.00793239,0
0.007938869,0
0.007945354,0
0.007951844,0
0.007958339,0
0.007964841,0
0.007971348,0
0.007977861,0
0.00798438,0
0.007990904,0
0.007997434,0
0.00800397,0
0.008010511,0
0.008017059,0
0.008023612,0
0.008030171,0
0.008036736,0
0.008043306,0
0.008049883,0
0.008056465,0
0.008063054,0
0.008069648,0
0.008076248,0
0.008082854,0
0.008089467,0
0.008096085,0
0.008102709,0
0.008109339,0
0.008115975,0
0.008122617,0
0.008129266,0
0.00813592,0
0.00814258,0
0.008149247,0
0.00815592,0
0.008162598,0
0.008169283,0
0.008175975,0
0.008182672,0
0.008189375,0
0.008196085,0
0.008202801,0
0.008209523,0
0.008216252,0
0.008222987,0
0.008229728,0
0.008236475,0
0.008243229,0
0.008249989,0
0.008256755,0
0.008263528,0
0.008270307,0
0.008277093,0
0.008283885,0
0.008290683,0
0.008297488,0
0.008304299,0
0.008311117,0
0.008317941,0
0.008324772,0
0.008331609,0
0.008338453,0
0.008345303,0
0.00835216,0
0.008359024,0
0.008365894,0
0.00837277,0
0.008379654,0
0.008386544,0
0.00839344,0
0.008400344,0
0.008407254,0
0.00841417,0
0.008421094,0
0.008428024,0
0.008434961,0
0.008441904,0
0.008448854,0
0.008455812,0
0.008462776,0
0.008469746,0
0.008476724,0
0.008483708,0
0.0084907,0
0.008497698,0
0.008504703,0
0.008511715,0
0.008518733,0
0.008525759,0
0.008532792,0
0.008539832,0
0.008546878,0
0.008553932,0
0.008560992,0
0.00856806,0
0.008575135,0
0.008582216,0
0.008589305,0
0.008596401,0
0.008603504,0
0.008610614,0
0.008617731,0
0.008624855,0
0.008631986,0
0.008639125,0
0.00864627,0
0.008653423,0
0.008660583,0
0.00866775,2.98E-13
0.008674925,9.04E-12
0.008682107,5.98E-11
0.008689296,2.16E-10
0.008696492,5.65E-10
0.008703695,1.22E-09
0.008710906,2.31E-09
0.008718124,3.98E-09
0.008725349,6.40E-09
0.008732582,9.74E-09
0.008739822,1.42E-08
0.008747069,1.99E-08
0.008754324,2.71E-08
0.008761586,3.61E-08
0.008768856,4.69E-08
0.008776133,5.98E-08
0.008783417,7.51E-08
0.008790709,9.29E-08
0.008798008,1.14E-07
0.008805315,1.37E-07
0.008812629,1.64E-07
0.008819951,1.94E-07
0.00882728,2.28E-07
0.008834617,2.65E-07
0.008841961,3.07E-07
0.008849313,3.52E-07
0.008856672,4.03E-07
0.008864039,4.57E-07
0.008871413,5.17E-07
0.008878795,5.81E-07
0.008886185,6.51E-07
0.008893582,7.26E-07
0.008900987,8.07E-07
0.0089084,8.93E-07
0.00891582,9.85E-07
0.008923248,1.08E-06
0.008930683,1.19E-06
0.008938127,1.30E-06
0.008945578,1.41E-06
0.008953036,1.54E-06
0.008960503,1.67E-06
0.008967977,1.80E-06
0.008975459,1.95E-06
0.008982949,2.10E-06
0.008990446,2.26E-06
0.008997951,2.42E-06
0.009005465,2.60E-06
0.009012986,2.78E-06
0.009020514,2.96E-06
0.009028051,3.16E-06
0.009035595,3.36E-06
0.009043148,3.57E-06
0.009050708,3.79E-06
0.009058276,4.02E-06
0.009065852,4.26E-06
0.009073436,4.50E-06
0.009081028,4.75E-06
0.009088628,5.01E-06
0.009096236,5.28E-06
0.009103852,5.56E-06
0.009111476,5.84E-06
0.009119107,6.14E-06
0.009126747,6.44E-06
0.009134395,6.75E-06
0.009142051,7.07E-06
0.009149715,7.40E-06
0.009157387,7.74E-06
0.009165067,8.08E-06
0.009172755,8.44E-06
0.009180451,8.81E-06
0.009188156,9.19E-06
0.009195868,9.57E-06
0.009203589,9.97E-06
0.009211318,1.04E-05
0.009219055,1.08E-05
0.0092268,1.12E-05
0.009234553,1.17E-05
0.009242314,1.21E-05
0.009250084,1.26E-05
0.009257862,1.31E-05
0.009265648,1.35E-05
0.009273442,1.40E-05
0.009281245,1.46E-05
0.009289056,1.51E-05
0.009296875,1.56E-05
