cib1 50,cib1 50
1.41E-03,0
1.41E-03,0
1.42E-03,0
1.42E-03,0
1.43E-03,0
1.43E-03,0
1.44E-03,0
1.44E-03,0
1.44E-03,0
1.45E-03,0
1.45E-03,0
1.46E-03,0
1.46E-03,0
1.47E-03,0
1.47E-03,0
1.47E-03,0
1.48E-03,0
1.48E-03,0
1.49E-03,0
1.49E-03,0
1.50E-03,0
1.50E-03,0
1.51E-03,0
1.51E-03,0
1.51E-03,0
1.52E-03,0
1.52E-03,0
1.53E-03,0
1.53E-03,0
1.54E-03,0
1.54E-03,0
1.55E-03,0
1.55E-03,0
1.55E-03,0
1.56E-03,0
1.56E-03,0
1.57E-03,0
1.57E-03,0
1.58E-03,0
1.58E-03,0
1.59E-03,0
1.59E-03,0
1.60E-03,0
1.60E-03,0
1.60E-03,0
1.61E-03,0
1.61E-03,0
1.62E-03,0
1.62E-03,0
1.63E-03,0
1.63E-03,0
0.001635976,0
0.001640512,0
0.001645051,0
0.001649593,0
0.001654139,0
0.001658687,0
0.001663239,0
0.001667794,0
0.001672353,0
0.001676915,0
0.00168148,0
0.001686048,0
0.001690619,0
0.001695194,0
0.001699772,0
0.001704353,0
0.001708938,0
0.001713525,0
0.001718116,0
0.001722711,0
0.001727308,0
0.001731909,0
0.001736513,0
0.00174112,0
0.00174573,0
0.001750344,0
0.001754961,0
0.001759581,0
0.001764204,0
0.001768831,0
0.001773461,0
0.001778094,0
0.00178273,0
0.00178737,0
0.001792013,0
0.001796659,0
0.001801308,0
0.001805961,0
0.001810617,0
0.001815276,0
0.001819938,0
0.001824604,0
0.001829272,0
0.001833944,0
0.00183862,0
0.001843298,0
0.00184798,0
0.001852665,0
0.001857353,0
0.001862044,0
0.001866739,0
0.001871437,0
0.001876138,0
0.001880842,0
0.00188555,0
0.00189026,0
0.001894974,0
0.001899692,0
0.001904412,0
0.001909136,0
0.001913863,0
0.001918593,0
0.001923326,0
0.001928063,0
0.001932803,0
0.001937546,0
0.001942292,0
0.001947042,0
0.001951794,0
0.00195655,0
0.00196131,0
0.001966072,0
0.001970838,0
0.001975607,0
0.001980379,0
0.001985154,0
0.001989933,0
0.001994714,0
0.001999499,0
0.002004288,0
0.002009079,0
0.002013874,0
0.002018672,0
0.002023473,0
0.002028277,0
0.002033085,0
0.002037895,0
0.002042709,0
0.002047527,0
0.002052347,0
0.002057171,0
0.002061998,0
0.002066828,0
0.002071661,0
0.002076498,0
0.002081337,0
0.00208618,0
0.002091026,0
0.002095876,0
0.002100728,0
0.002105584,0
0.002110443,0
0.002115306,0
0.002120171,0
0.00212504,0
0.002129912,0
0.002134787,0
0.002139665,0
0.002144547,0
0.002149432,0
0.00215432,0
0.002159211,0
0.002164106,0
0.002169003,0
0.002173904,0
0.002178808,0
0.002183715,0
0.002188626,0
0.00219354,0
0.002198457,0
0.002203377,0
0.0022083,0
0.002213227,0
0.002218157,0
0.00222309,0
0.002228026,0
0.002232966,0
0.002237908,0
0.002242854,0
0.002247803,0
0.002252756,0
0.002257711,0
0.00226267,0
0.002267632,0
0.002272597,0
0.002277565,0
0.002282537,0
0.002287512,0
0.00229249,0
0.002297471,0
0.002302456,0
0.002307443,0
0.002312434,0
0.002317428,0
0.002322426,0
0.002327426,0
0.00233243,0
0.002337437,0
0.002342447,0
0.00234746,0
0.002352477,0
0.002357497,0
0.00236252,0
0.002367546,0
0.002372575,0
0.002377608,0
0.002382644,0
0.002387683,0
0.002392725,0
0.002397771,0
0.00240282,0
0.002407872,0
0.002412927,0
0.002417985,0
0.002423047,0
0.002428111,0
0.002433179,0
0.002438251,0
0.002443325,0
0.002448403,0
0.002453484,0
0.002458568,0
0.002463655,0
0.002468746,0
0.002473839,0
0.002478936,0
0.002484036,0
0.00248914,0
0.002494246,0
0.002499356,0
0.002504469,0
0.002509585,0
0.002514705,0
0.002519827,0
0.002524953,0
0.002530082,0
0.002535215,0
0.00254035,0
0.002545489,0
0.002550631,0
0.002555776,0
0.002560924,0
0.002566076,0
0.002571231,0
0.002576389,0
0.00258155,0
0.002586715,0
0.002591882,0
0.002597053,0
0.002602227,0
0.002607405,0
0.002612585,0
0.002617769,0
0.002622956,0
0.002628146,0
0.00263334,0
0.002638536,0
0.002643736,0
0.002648939,0
0.002654146,0
0.002659355,0
0.002664568,0
0.002669784,0
0.002675003,0
0.002680225,0
0.002685451,0
0.00269068,0
0.002695912,0
0.002701147,0
0.002706386,0
0.002711627,0
0.002716872,0
0.002722121,0
0.002727372,0
0.002732627,0
0.002737884,0
0.002743145,0
0.00274841,0
0.002753677,0
0.002758948,0
0.002764222,0
0.002769499,0
0.00277478,0
0.002780063,0
0.00278535,0
0.00279064,0
0.002795933,0
0.00280123,0
0.00280653,0
0.002811833,0
0.002817139,0
0.002822448,0
0.002827761,0
0.002833077,0
0.002838396,0
0.002843718,0
0.002849044,0
0.002854373,0
0.002859705,0
0.00286504,0
0.002870379,0
0.00287572,0
0.002881065,0
0.002886414,0
0.002891765,0
0.00289712,0
0.002902478,0
0.002907839,0
0.002913203,0
0.002918571,0
0.002923941,0
0.002929316,0
0.002934693,0
0.002940073,0
0.002945457,0
0.002950844,0
0.002956234,0
0.002961628,0
0.002967025,0
0.002972425,0
0.002977828,0
0.002983234,0
0.002988644,0
0.002994057,0
0.002999473,0
0.003004892,0
0.003010315,0
0.003015741,0
0.00302117,0
0.003026602,0
0.003032038,0
0.003037477,0
0.003042919,0
0.003048364,0
0.003053813,0
0.003059265,0
0.00306472,0
0.003070178,0
0.003075639,0
0.003081104,0
0.003086572,0
0.003092044,0
0.003097518,0
0.003102996,0
0.003108477,0
0.003113961,0
0.003119449,0
0.00312494,0
0.003130434,0
0.003135931,0
0.003141431,0
0.003146935,0
0.003152442,0
0.003157952,0
0.003163466,0
0.003168983,0
0.003174503,0
0.003180026,0
0.003185553,0
0.003191083,0
0.003196616,0
0.003202152,0
0.003207692,0
0.003213234,0
0.003218781,0
0.00322433,0
0.003229883,0
0.003235438,0
0.003240998,0
0.00324656,0
0.003252126,0
0.003257695,0
0.003263267,0
0.003268842,0
0.003274421,0
0.003280003,0
0.003285588,0
0.003291177,0
0.003296768,0
0.003302364,0
0.003307962,0
0.003313563,0
0.003319168,0
0.003324776,0
0.003330388,0
0.003336003,0
0.00334162,0
0.003347242,0
0.003352866,0
0.003358494,0
0.003364125,0
0.003369759,0
0.003375397,0
0.003381038,0
0.003386682,0
0.003392329,0
0.00339798,0
0.003403634,0
0.003409291,0
0.003414952,0
0.003420615,0
0.003426283,0
0.003431953,0
0.003437627,0
0.003443304,0
0.003448984,0
0.003454667,0
0.003460354,0
0.003466044,0
0.003471737,0
0.003477434,0
0.003483134,0
0.003488837,0
0.003494544,0
0.003500254,0
0.003505967,0
0.003511683,0
0.003517403,0
0.003523126,0
0.003528852,0
0.003534581,0
0.003540314,0
0.00354605,0
0.00355179,0
0.003557533,0
0.003563279,0
0.003569028,0
0.00357478,0
0.003580536,0
0.003586296,0
0.003592058,0
0.003597824,0
0.003603593,0
0.003609366,0
0.003615141,0
0.00362092,0
0.003626703,0
0.003632488,0
0.003638277,0
0.003644069,0
0.003649865,0
0.003655664,0
0.003661466,0
0.003667272,0
0.00367308,0
0.003678892,0
0.003684708,0
0.003690527,0
0.003696349,0
0.003702174,0
0.003708003,0
0.003713835,0
0.00371967,0
0.003725509,0
0.003731351,0
0.003737196,0
0.003743045,0
0.003748896,0
0.003754752,0
0.00376061,0
0.003766472,0
0.003772337,0
0.003778206,0
0.003784078,0
0.003789953,0
0.003795832,0
0.003801713,0
0.003807599,0
0.003813487,0
0.003819379,0
0.003825274,0
0.003831173,0
0.003837074,0
0.00384298,0
0.003848888,0
0.0038548,0
0.003860715,0
0.003866634,0
0.003872555,0
0.003878481,0
0.003884409,0
0.003890341,0
0.003896276,0
0.003902215,0
0.003908157,0
0.003914102,0
0.003920051,0
0.003926003,0
0.003931958,0
0.003937916,0
0.003943878,0
0.003949844,0
0.003955812,0
0.003961785,0
0.00396776,0
0.003973739,0
0.003979721,0
0.003985706,0
0.003991695,0
0.003997687,0
0.004003683,0
0.004009682,0
0.004015684,0
0.004021689,0
0.004027698,0
0.004033711,0
0.004039726,0
0.004045745,0
0.004051768,0
0.004057794,0
0.004063823,0
0.004069855,0
0.004075891,0
0.004081931,0
0.004087973,0
0.004094019,0
0.004100069,0
0.004106121,0
0.004112177,0
0.004118237,0
0.0041243,0
0.004130366,0
0.004136436,0
0.004142509,0
0.004148585,0
0.004154665,0
0.004160748,0
0.004166835,0
0.004172925,0
0.004179018,0
0.004185115,0
0.004191215,0
0.004197318,0
0.004203425,0
0.004209535,0
0.004215649,0
0.004221766,0
0.004227886,0
0.00423401,0
0.004240137,0
0.004246268,0
0.004252402,0
0.00425854,0
0.00426468,0
0.004270825,0
0.004276972,0
0.004283123,0
0.004289278,0
0.004295435,0
0.004301597,0
0.004307761,0
0.004313929,0
0.004320101,0
0.004326276,0
0.004332454,0
0.004338636,0
0.004344821,0
0.004351009,0
0.004357201,0
0.004363397,0
0.004369595,0
0.004375797,0
0.004382003,0
0.004388212,0
0.004394425,0
0.00440064,0
0.00440686,0
0.004413082,0
0.004419309,0
0.004425538,0
0.004431771,0
0.004438008,0
0.004444247,0
0.004450491,0
0.004456737,0
0.004462988,0
0.004469241,0
0.004475498,0
0.004481759,0
0.004488022,0
0.00449429,0
0.004500561,0
0.004506835,0
0.004513112,0
0.004519393,0
0.004525678,0
0.004531966,0
0.004538257,0
0.004544552,0
0.004550851,0
0.004557152,0
0.004563458,0
0.004569766,0
0.004576078,0
0.004582394,0
0.004588713,0
0.004595035,0
0.004601361,0
0.004607691,0
0.004614024,0
0.00462036,0
0.0046267,0
0.004633043,0
0.00463939,0
0.00464574,0
0.004652094,0
0.004658451,0
0.004664811,0
0.004671175,0
0.004677543,0
0.004683914,0
0.004690288,0
0.004696666,0
0.004703048,0
0.004709433,0
0.004715821,0
0.004722213,0
0.004728608,0
0.004735007,0
0.004741409,0
0.004747815,0
0.004754224,0
0.004760637,0
0.004767053,0
0.004773473,0
0.004779896,0
0.004786323,0
0.004792753,0
0.004799187,0
0.004805624,0
0.004812065,0
0.004818509,0
0.004824957,0
0.004831408,0
0.004837863,0
0.004844321,0
0.004850782,0
0.004857248,0
0.004863716,0
0.004870188,0
0.004876664,0
0.004883143,0
0.004889626,0
0.004896112,0
0.004902602,0
0.004909095,0
0.004915592,0
0.004922093,0
0.004928596,0
0.004935104,0
0.004941615,0
0.004948129,0
0.004954647,0
0.004961168,0
0.004967693,0
0.004974222,0
0.004980754,0
0.004987289,0
0.004993828,0
0.005000371,0
0.005006917,0
0.005013467,0
0.00502002,0
0.005026577,0
0.005033137,0
0.005039701,0
0.005046268,0
0.005052839,0
0.005059413,0
0.005065991,0
0.005072573,0
0.005079158,0
0.005085747,0
0.005092339,0
0.005098934,0
0.005105534,0
0.005112137,0
0.005118743,0
0.005125353,0
0.005131966,0
0.005138583,0
0.005145204,0
0.005151828,0
0.005158456,0
0.005165087,0
0.005171722,0
0.00517836,0
0.005185002,0
0.005191648,0
0.005198297,0
0.00520495,0
0.005211606,0
0.005218266,0
0.005224929,0
0.005231596,0
0.005238267,0
0.005244941,0
0.005251619,0
0.0052583,0
0.005264985,0
0.005271674,0
0.005278366,0
0.005285061,0
0.005291761,0
0.005298463,0
0.00530517,0
0.00531188,0
0.005318593,0
0.005325311,0
0.005332031,0
0.005338756,0
0.005345484,0
0.005352216,0
0.005358951,0
0.00536569,0
0.005372432,0
0.005379178,0
0.005385928,0
0.005392681,0
0.005399438,0
0.005406198,0
0.005412962,0
0.00541973,0
0.005426501,0
0.005433276,0
0.005440055,0
0.005446837,0
0.005453623,0
0.005460412,0
0.005467205,0
0.005474002,0
0.005480802,0
0.005487606,0
0.005494413,0
0.005501225,0
0.005508039,0
0.005514858,0
0.00552168,0
0.005528506,0
0.005535335,0
0.005542168,0
0.005549004,0
0.005555845,0
0.005562689,0
0.005569536,0
0.005576387,0
0.005583242,0
0.005590101,0
0.005596963,0
0.005603829,0
0.005610698,0
0.005617571,0
0.005624448,0
0.005631328,0
0.005638212,0
0.0056451,0
0.005651992,0
0.005658887,0
0.005665785,0
0.005672688,0
0.005679594,0
0.005686503,0
0.005693417,0
0.005700334,0
0.005707255,0
0.005714179,0
0.005721107,0
0.005728039,0
0.005734974,0
0.005741913,0
0.005748856,0
0.005755803,0
0.005762753,0
0.005769707,0
0.005776664,0
0.005783626,0
0.005790591,0
0.005797559,0
0.005804531,0
0.005811507,0
0.005818487,0
0.005825471,0
0.005832458,0
0.005839448,0
0.005846443,0
0.005853441,0
0.005860443,0
0.005867449,0
0.005874458,0
0.005881471,0
0.005888488,0
0.005895508,0
0.005902532,0
0.00590956,0
0.005916592,0
0.005923627,0
0.005930666,0
0.005937709,0
0.005944756,0
0.005951806,0
0.00595886,0
0.005965917,0
0.005972979,0
0.005980044,0
0.005987113,0
0.005994185,0
0.006001262,0
0.006008342,0
0.006015426,0
0.006022513,0
0.006029604,0
0.006036699,0
0.006043798,0
0.006050901,0
0.006058007,0
0.006065117,0
0.006072231,0
0.006079348,0
0.006086469,0
0.006093594,0
0.006100723,0
0.006107856,0
0.006114992,0
0.006122132,0
0.006129276,0
0.006136423,0
0.006143575,0
0.00615073,0
0.006157889,0
0.006165051,0
0.006172218,0
0.006179388,0
0.006186562,0
0.00619374,0
0.006200921,0
0.006208106,0
0.006215296,0
0.006222488,0
0.006229685,0
0.006236885,0
0.00624409,0
0.006251298,0
0.006258509,1.96E-13
0.006265725,6.02E-12
0.006272944,4.00E-11
0.006280168,1.45E-10
0.006287395,3.79E-10
0.006294625,8.20E-10
0.00630186,1.55E-09
0.006309098,2.68E-09
0.00631634,4.31E-09
0.006323586,6.56E-09
0.006330836,9.55E-09
0.00633809,1.34E-08
0.006345347,1.83E-08
0.006352608,2.43E-08
0.006359873,3.16E-08
0.006367142,4.03E-08
0.006374415,5.06E-08
0.006381691,6.26E-08
0.006388971,7.65E-08
0.006396255,9.24E-08
0.006403543,1.10E-07
0.006410835,1.31E-07
0.006418131,1.53E-07
0.00642543,1.79E-07
0.006432733,2.07E-07
0.00644004,2.38E-07
0.006447351,2.71E-07
0.006454666,3.08E-07
0.006461984,3.49E-07
0.006469307,3.92E-07
0.006476633,4.39E-07
0.006483963,4.90E-07
0.006491297,5.44E-07
0.006498634,6.02E-07
0.006505976,6.64E-07
0.006513321,7.30E-07
0.006520671,8.00E-07
0.006528024,8.75E-07
0.006535381,9.54E-07
0.006542742,1.04E-06
0.006550106,1.12E-06
0.006557475,1.22E-06
0.006564847,1.31E-06
0.006572223,1.42E-06
0.006579603,1.52E-06
0.006586987,1.63E-06
0.006594375,1.75E-06
0.006601767,1.87E-06
0.006609162,2.00E-06
0.006616562,2.13E-06
0.006623965,2.27E-06
0.006631372,2.41E-06
0.006638783,2.56E-06
0.006646198,2.71E-06
0.006653617,2.87E-06
0.006661039,3.03E-06
0.006668466,3.20E-06
0.006675896,3.38E-06
0.00668333,3.56E-06
0.006690769,3.75E-06
0.006698211,3.94E-06
0.006705657,4.14E-06
0.006713106,4.34E-06
0.00672056,4.55E-06
0.006728018,4.77E-06
0.006735479,4.99E-06
0.006742945,5.22E-06
0.006750414,5.45E-06
0.006757887,5.69E-06
0.006765364,5.94E-06
0.006772845,6.20E-06
0.00678033,6.46E-06
0.006787819,6.73E-06
0.006795311,7.00E-06
0.006802808,7.28E-06
0.006810308,7.57E-06
0.006817813,7.87E-06
0.006825321,8.18E-06
0.006832833,8.49E-06
0.00684035,8.81E-06
0.00684787,9.14E-06
0.006855394,9.48E-06
0.006862922,9.82E-06
0.006870453,1.02E-05
0.006877989,1.05E-05
0.006885529,1.09E-05
0.006893072,1.13E-05
0.00690062,1.17E-05
0.006908171,1.21E-05
0.006915727,1.25E-05
0.006923286,1.29E-05
0.006930849,1.33E-05
0.006938417,1.38E-05
0.006945988,1.42E-05
0.006953563,1.47E-05
0.006961142,1.51E-05
0.006968725,1.56E-05
0.006976312,1.61E-05
0.006983903,1.66E-05
0.006991497,1.71E-05
0.006999096,1.76E-05
0.007006699,1.82E-05
0.007014306,1.87E-05
0.007021916,1.93E-05
0.007029531,1.98E-05
0.007037149,2.04E-05
0.007044772,2.10E-05
0.007052398,2.16E-05
0.007060029,2.22E-05
0.007067663,2.28E-05
0.007075301,2.34E-05
0.007082944,2.40E-05
0.00709059,2.47E-05
0.00709824,2.53E-05
0.007105895,2.60E-05
0.007113553,2.67E-05
0.007121215,2.74E-05
0.007128881,2.81E-05
0.007136551,2.88E-05
0.007144225,2.95E-05
0.007151904,3.02E-05
0.007159586,3.10E-05
0.007167272,3.17E-05
0.007174962,3.25E-05
0.007182656,3.33E-05
0.007190354,3.41E-05
0.007198056,3.49E-05
0.007205762,3.57E-05
0.007213472,3.65E-05
0.007221186,3.73E-05
0.007228904,3.82E-05
0.007236626,3.90E-05
0.007244352,3.99E-05
0.007252082,4.08E-05
0.007259816,4.17E-05
0.007267554,4.26E-05
0.007275297,4.35E-05
0.007283043,4.44E-05
0.007290793,4.54E-05
0.007298547,4.63E-05
0.007306305,4.73E-05
0.007314067,4.83E-05
0.007321833,4.93E-05
0.007329604,5.03E-05
0.007337378,5.13E-05
0.007345156,5.23E-05
0.007352938,5.34E-05
0.007360725,5.45E-05
0.007368515,5.55E-05
0.007376309,5.66E-05
0.007384108,5.77E-05
0.00739191,5.88E-05
0.007399717,6.00E-05
0.007407527,6.11E-05
0.007415342,6.23E-05
0.00742316,6.34E-05
0.007430983,6.46E-05
0.00743881,6.58E-05
0.007446641,6.70E-05
0.007454475,6.83E-05
0.007462314,6.95E-05
0.007470157,7.08E-05
0.007478004,7.20E-05
0.007485855,7.33E-05
0.00749371,7.46E-05
0.007501569,7.59E-05
0.007509432,7.73E-05
0.0075173,7.86E-05
0.007525171,8.00E-05
0.007533046,8.13E-05
0.007540926,8.27E-05
0.007548809,8.41E-05
0.007556697,8.55E-05
0.007564589,8.70E-05
0.007572484,8.84E-05
0.007580384,8.99E-05
0.007588288,9.13E-05
0.007596196,9.28E-05
0.007604108,9.43E-05
0.007612024,9.58E-05
0.007619945,9.74E-05
0.007627869,9.89E-05
0.007635797,0.000100451
0.00764373,0.000102022
0.007651666,0.000103607
0.007659607,0.000105207
0.007667552,0.00010682
0.007675501,0.000108449
0.007683454,0.000110091
0.007691411,0.000111748
0.007699372,0.00011342
0.007707337,0.000115106
0.007715307,0.000116807
0.00772328,0.000118523
0.007731258,0.000120254
0.00773924,0.000121999
0.007747226,0.00012376
0.007755216,0.000125536
0.00776321,0.000127327
0.007771208,0.000129133
0.00777921,0.000130955
0.007787217,0.000132793
0.007795227,0.000134646
0.007803242,0.000136514
0.007811261,0.000138398
0.007819284,0.000140298
0.007827311,0.000142214
0.007835342,0.000144146
0.007843377,0.000146093
0.007851417,0.000148057
0.00785946,0.000150036
0.007867508,0.000152032
0.00787556,0.000154044
0.007883616,0.000156071
0.007891676,0.000158116
0.007899741,0.000160176
0.007907809,0.000162252
0.007915882,0.000164345
0.007923959,0.000166454
0.00793204,0.000168579
0.007940125,0.000170721
0.007948214,0.000172879
0.007956307,0.000175053
0.007964405,0.000177244
0.007972507,0.00017945
0.007980613,0.000181673
0.007988723,0.000183913
0.007996837,0.000186168
0.008004955,0.00018844
0.008013078,0.000190728
0.008021205,0.000193033
0.008029336,0.000195353
0.008037471,0.00019769
0.00804561,0.000200042
0.008053754,0.000202411
0.008061901,0.000204796
0.008070053,0.000207197
0.008078209,0.000209614
0.008086369,0.000212046
0.008094534,0.000214495
0.008102702,0.000216959
0.008110875,0.00021944
0.008119052,0.000221936
0.008127233,0.000224447
0.008135419,0.000226975
0.008143608,0.000229518
0.008151802,0.000232077
0.00816,0.000234651
0.008168202,0.000237242
0.008176409,0.000239848
0.008184619,0.000242471
0.008192834,0.000245109
0.008201053,0.000247764
0.008209276,0.000250434
0.008217504,0.000253121
0.008225735,0.000255824
0.008233971,0.000258544
0.008242211,0.00026128
0.008250456,0.000264032
0.008258704,0.000266801
0.008266957,0.000269586
0.008275214,0.000272388
0.008283475,0.000275207
0.008291741,0.000278043
0.008300011,0.000280895
0.008308285,0.000283765
0.008316563,0.000286651
0.008324845,0.000289554
0.008333132,0.000292474
0.008341423,0.000295411
0.008349718,0.000298365
0.008358017,0.000301336
0.008366321,0.000304325
0.008374629,0.00030733
0.008382941,0.000310353
0.008391257,0.000313392
0.008399578,0.000316449
0.008407903,0.000319523
0.008416232,0.000322615
0.008424566,0.000325723
0.008432903,0.000328848
0.008441245,0.000331991
0.008449591,0.000335151
0.008457942,0.000338328
0.008466297,0.000341522
0.008474656,0.000344733
0.008483019,0.000347961
0.008491387,0.000351206
0.008499758,0.000354468
0.008508135,0.000357747
0.008516515,0.000361043
0.0085249,0.000364356
0.008533289,0.000367685
0.008541682,0.000371032
0.00855008,0.000374395
0.008558481,0.000377775
0.008566887,0.000381171
0.008575298,0.000384585
0.008583713,0.000388014
0.008592132,0.00039146
0.008600555,0.000394923
0.008608983,0.000398402
0.008617415,0.000401897
0.008625851,0.000405408
0.008634291,0.000408936
0.008642736,0.00041248
0.008651185,0.00041604
0.008659639,0.000419616
0.008668096,0.000423209
0.008676559,0.000426818
0.008685025,0.000430444
0.008693496,0.000434086
0.008701971,0.000437745
0.00871045,0.00044142
0.008718934,0.000445111
0.008727422,0.00044882
0.008735914,0.000452545
