Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,90.802,87.97,1
1,2,1,73.817,234.99,2
1,3,-1,394.47,218.4,3
1,4,-1,448.76,394.06,4
1,5,-1,189.7,199.5,5
1,6,-1,357.43,334.42,6
1,7,-1,284.18,132.42,7
1,8,-1,446.8,383.47,8
1,9,-1,180.84,205.59,9
1,10,-1,273.44,140.19,10
1,11,-1,456.39,383.17,11
1,12,-1,68.797,243.12,12
1,13,-1,346.55,336,13
2,1,1,86.611,85.462,1
2,2,1,63.339,223.77,2
2,3,-1,382.17,209.2,3
2,4,-1,436,384.28,4
2,5,-1,178.07,188.76,5
2,6,1,346.32,324.62,6
2,7,-1,270.35,121.95,7
2,8,1,434.22,373.44,8
2,9,-1,168.44,196.19,9
2,10,-1,261.71,129.82,10
2,11,-1,444.91,372.51,11
2,12,1,57.028,233.42,12
2,13,1,334.67,328.85,13
3,1,1,85.786,83.671,1
3,2,1,65.564,224.52,2
3,3,-1,386.78,208.33,3
3,4,-1,441.38,384.25,4
3,5,-1,183.47,188.22,5
3,6,1,349.47,323.18,6
3,7,1,277.26,122.93,7
3,8,-1,438.85,372.06,8
3,9,-1,173.43,195.37,9
3,10,-1,267.09,127.58,10
3,11,-1,449.33,371.76,11
3,12,-1,61.768,232.92,12
3,13,-1,338.67,327.96,13
3,14,1,347.5,334.71,14
4,1,1,89.757,82.393,1
4,2,-1,71.605,224.88,2
4,3,-1,389.63,210.32,3
4,4,1,443.7,385.64,4
4,5,-1,185.89,190.07,5
4,6,1,352.53,326.13,6
4,7,-1,277.25,124.47,7
4,8,-1,440.25,374,8
4,9,-1,176.68,197.29,9
4,10,-1,269.03,130.45,10
4,11,-1,452.83,375.07,11
4,12,-1,64.525,234.65,12
4,13,-1,341.38,328.45,13
4,14,1,349.48,334.73,14
5,1,1,86.766,81.797,1
5,2,-1,69.571,222.11,2
5,3,-1,386.24,206.77,3
5,4,-1,440.81,382.84,4
5,5,-1,184.03,185.24,5
5,6,-1,351.84,323.78,6
5,7,-1,275.05,119.53,7
5,8,-1,437.58,370.79,8
5,9,-1,172.95,193.27,9
5,10,-1,266.17,126.44,10
5,11,-1,449.36,369.71,11
5,12,-1,61.25,229.57,12
5,13,-1,338.63,325.76,13
5,14,-1,347.51,329.76,14
6,1,1,88.268,84.213,1
6,2,1,66.819,225.03,2
6,3,-1,385.34,210.13,3
6,4,-1,439.92,385.92,4
6,5,-1,182.14,189.38,5
6,6,-1,350.27,325.78,6
6,7,-1,275.11,123.1,7
6,8,-1,436.9,372.25,8
6,9,-1,171.84,197.45,9
6,10,-1,266.16,130.01,10
6,11,-1,448.4,373.1,11
6,12,1,59.784,233.45,12
6,13,-1,338.15,329.92,13
6,14,-1,347.07,335.85,14
7,1,1,87.275,84.831,1
7,2,1,81.911,230.3,2
7,3,-1,401.23,217.14,3
7,4,-1,456.52,393.28,4
7,5,-1,199.75,195.55,5
7,6,-1,366.63,333.26,6
7,7,1,289.02,129.54,7
7,8,-1,452.69,379.19,8
7,9,-1,187.64,204.23,9
7,10,-1,281.14,138.11,10
7,11,-1,465.27,380.23,11
7,12,1,76.34,239.96,12
7,13,-1,353.98,335.9,13
7,14,-1,363.9,344.02,14
8,1,1,85.843,83.268,1
8,2,1,76.024,230.87,2
8,3,-1,395.3,215.69,3
8,4,-1,450.55,391.61,4
8,5,-1,193.03,194.47,5
8,6,-1,358.87,329.9,6
8,7,1,284.69,127.92,7
8,8,-1,445.47,379.44,8
8,9,-1,181.79,202.5,9
8,10,-1,275.64,136.13,10
8,11,-1,459.76,379.7,11
8,12,1,70.06,240.24,12
8,13,-1,347.1,333.2,13
8,14,-1,358.82,341.48,14
9,1,1,83.747,80.649,1
9,2,-1,79.169,229.49,2
9,3,-1,396.34,212.91,3
9,4,-1,450.11,390.69,4
9,5,-1,193.35,192.13,5
9,6,-1,360,329.07,6
9,7,-1,285.13,126.69,7
9,8,-1,445.37,376.97,8
9,9,-1,180.99,201.26,9
9,10,-1,275.91,133.3,10
9,11,-1,459.97,376.95,11
9,12,1,70.794,238.53,12
9,13,-1,346.33,330.91,13
9,14,-1,358.73,340.36,14
9,15,1,66.575,228.62,15
9,16,-1,387.36,222.34,16
9,17,-1,273.95,145.42,17
10,1,1,85.078,80.996,1
10,2,-1,76.518,227.88,2
10,3,-1,395.4,211.86,3
10,4,-1,449.52,389.28,4
10,5,-1,192.69,191.94,5
10,6,-1,360.77,330.73,6
10,7,-1,283.3,125.16,7
10,8,-1,445.85,373.69,8
10,9,-1,180.61,201.69,9
10,10,-1,274.16,131.96,10
10,11,-1,458.96,375.04,11
10,12,-1,71.064,238.28,12
10,13,-1,346.62,331.38,13
10,14,-1,359.88,339.54,14
10,15,-1,64.392,225.94,15
10,16,-1,385.94,221.2,16
10,17,-1,273.85,146.44,17
11,1,1,82.616,79.563,1
11,2,-1,75.978,227.91,2
11,3,-1,396.96,211.04,3
11,4,-1,449.28,389.01,4
11,5,1,193.05,192.21,5
11,6,-1,359.62,326.8,6
11,7,-1,284.07,124.95,7
11,8,-1,445.71,372.98,8
11,9,-1,180.6,200.16,9
11,10,-1,273.83,131.41,10
11,11,-1,458.56,375.23,11
11,12,-1,71.167,238.6,12
11,13,-1,345.86,331.26,13
11,14,-1,358.97,339.31,14
11,15,-1,65.231,225.95,15
11,16,-1,385.36,221.38,16
11,17,-1,273.72,144.19,17
11,18,-1,461.83,387.38,18
12,1,1,81.818,83.525,1
12,2,-1,75.989,227.09,2
12,3,-1,394.97,212.08,3
12,4,-1,447.96,389.18,4
12,5,-1,192.3,191.31,5
12,6,-1,358.43,326.76,6
12,7,-1,284.09,124.11,7
12,8,-1,444.2,374.1,8
12,9,-1,179.44,200.32,9
12,10,-1,272.6,130.32,10
12,11,-1,457.85,375.1,11
12,12,-1,70.187,238.6,12
12,13,-1,344.88,329.35,13
12,14,-1,357.49,338.85,14
12,15,-1,64,224.39,15
12,16,-1,384.52,221.97,16
12,17,-1,272.2,145.12,17
12,18,-1,462.12,388.66,18
12,19,-1,346.07,341.6,19
13,1,1,82.597,79.914,1
13,2,1,77.147,227.95,2
13,3,-1,395.61,211.96,3
13,4,-1,448.48,390.52,4
13,5,-1,194.69,190.14,5
13,6,-1,359.93,326.61,6
13,7,-1,285.26,125.24,7
13,8,-1,445.13,375.75,8
13,9,-1,179.51,201.03,9
13,10,-1,273.75,128.22,10
13,11,-1,459.46,374.2,11
13,12,-1,69.899,238.64,12
13,13,-1,345.82,330.35,13
13,14,-1,358.87,338.52,14
13,15,-1,65.406,224.83,15
13,16,1,386.45,220.89,16
13,17,-1,273.11,144.77,17
13,18,-1,461.98,387.64,18
13,19,-1,347.02,343.61,19
14,1,1,81.241,80.093,1
14,2,-1,77.811,226.16,2
14,3,-1,396.13,210.16,3
