tod6 50,tod6 100
-7.13E-05,-6.58E-05
-6.29E-05,-6.38E-05
-5.46E-05,-6.17E-05
-4.63E-05,-5.97E-05
-3.80E-05,-5.77E-05
-2.97E-05,-5.56E-05
-2.15E-05,-5.36E-05
-1.33E-05,-5.16E-05
-5.14E-06,-4.96E-05
3.00E-06,-4.76E-05
1.11E-05,-4.55E-05
1.92E-05,-4.35E-05
2.72E-05,-4.15E-05
3.53E-05,-3.95E-05
4.33E-05,-3.75E-05
5.12E-05,-3.55E-05
5.92E-05,-3.36E-05
6.71E-05,-3.16E-05
7.49E-05,-2.96E-05
8.28E-05,-2.76E-05
9.06E-05,-2.56E-05
9.84E-05,-2.36E-05
0.000106185,-2.17E-05
0.000113923,-1.97E-05
0.000121632,-1.77E-05
0.000129313,-1.58E-05
0.000136966,-1.38E-05
0.000144591,-1.19E-05
0.000152187,-9.92E-06
0.000159756,-7.98E-06
0.000167296,-6.03E-06
0.000174808,-4.09E-06
0.000182292,-2.15E-06
0.000189748,-2.17E-07
0.000197175,1.71E-06
0.000204575,3.64E-06
0.000211947,5.57E-06
0.000219291,7.49E-06
0.000226607,9.41E-06
0.000233895,1.13E-05
0.000241155,1.32E-05
0.000248387,1.51E-05
0.000255591,1.70E-05
0.000262768,1.90E-05
0.000269917,2.09E-05
0.000277038,2.27E-05
0.000284132,2.46E-05
0.000291198,2.65E-05
0.000298236,2.84E-05
0.000305247,3.03E-05
0.00031223,3.22E-05
0.000319185,3.41E-05
0.000326113,3.59E-05
0.000333014,3.78E-05
0.000339887,3.97E-05
0.000346733,4.15E-05
0.000353551,4.34E-05
0.000360342,4.53E-05
0.000367105,4.71E-05
0.000373841,4.90E-05
0.00038055,5.08E-05
0.000387232,5.27E-05
0.000393886,5.45E-05
0.000400514,5.63E-05
0.000407114,5.82E-05
0.000413687,6.00E-05
0.000420232,6.18E-05
0.000426751,6.37E-05
0.000433243,6.55E-05
0.000439708,6.73E-05
0.000446145,6.91E-05
0.000452556,7.09E-05
0.00045894,7.27E-05
0.000465296,7.46E-05
0.000471626,7.64E-05
0.00047793,7.82E-05
0.000484206,8.00E-05
0.000490455,8.18E-05
