chz1 50,chz1 100
4.95E-05,1.98E-03
4.94E-05,1.99E-03
4.93E-05,2.00E-03
4.93E-05,2.01E-03
4.92E-05,2.03E-03
4.91E-05,2.04E-03
4.91E-05,2.05E-03
4.90E-05,2.06E-03
4.90E-05,2.07E-03
4.89E-05,2.08E-03
4.89E-05,2.09E-03
4.89E-05,2.10E-03
4.88E-05,2.11E-03
4.88E-05,2.12E-03
4.88E-05,2.13E-03
4.87E-05,2.14E-03
4.87E-05,2.16E-03
4.87E-05,2.17E-03
4.87E-05,2.18E-03
4.87E-05,2.19E-03
4.87E-05,2.20E-03
4.86E-05,2.21E-03
4.86E-05,2.22E-03
4.86E-05,2.23E-03
4.87E-05,2.24E-03
4.87E-05,2.25E-03
4.87E-05,2.26E-03
4.87E-05,2.27E-03
4.87E-05,2.28E-03
4.87E-05,2.29E-03
4.88E-05,2.30E-03
4.88E-05,2.31E-03
4.88E-05,2.32E-03
4.89E-05,2.33E-03
4.89E-05,2.34E-03
4.89E-05,2.36E-03
4.90E-05,2.37E-03
4.90E-05,2.38E-03
4.91E-05,2.39E-03
4.92E-05,2.40E-03
4.92E-05,2.41E-03
4.93E-05,2.42E-03
4.94E-05,2.43E-03
4.94E-05,2.44E-03
4.95E-05,2.45E-03
4.96E-05,2.46E-03
4.97E-05,2.47E-03
4.98E-05,2.48E-03
4.99E-05,2.49E-03
4.99E-05,2.50E-03
5.00E-05,2.51E-03
5.02E-05,2.52E-03
5.03E-05,2.53E-03
5.04E-05,2.54E-03
5.05E-05,2.55E-03
5.06E-05,2.56E-03
5.07E-05,2.57E-03
5.09E-05,2.58E-03
5.10E-05,2.59E-03
5.11E-05,2.60E-03
5.13E-05,2.61E-03
5.14E-05,2.62E-03
5.15E-05,2.63E-03
5.17E-05,2.64E-03
5.19E-05,2.65E-03
5.20E-05,2.66E-03
5.22E-05,2.67E-03
5.23E-05,2.68E-03
5.25E-05,2.69E-03
5.27E-05,2.70E-03
5.29E-05,2.71E-03
5.30E-05,2.72E-03
5.32E-05,2.73E-03
5.34E-05,2.74E-03
5.36E-05,2.74E-03
5.38E-05,2.75E-03
5.40E-05,2.76E-03
5.42E-05,2.77E-03
5.44E-05,2.78E-03
5.47E-05,2.79E-03
5.49E-05,2.80E-03
5.51E-05,2.81E-03
5.53E-05,2.82E-03
5.56E-05,2.83E-03
5.58E-05,2.84E-03
5.60E-05,2.85E-03
5.63E-05,2.86E-03
5.65E-05,2.87E-03
5.68E-05,2.88E-03
5.70E-05,2.89E-03
5.73E-05,2.90E-03
5.76E-05,2.91E-03
5.78E-05,2.92E-03
5.81E-05,2.92E-03
5.84E-05,2.93E-03
5.87E-05,2.94E-03
5.90E-05,2.95E-03
5.93E-05,2.96E-03
5.96E-05,2.97E-03
5.99E-05,2.98E-03
6.02E-05,2.99E-03
6.05E-05,3.00E-03
6.08E-05,3.01E-03
6.11E-05,3.02E-03
6.14E-05,3.03E-03
6.18E-05,3.04E-03
6.21E-05,3.04E-03
6.24E-05,3.05E-03
6.28E-05,3.06E-03
6.31E-05,3.07E-03
6.35E-05,3.08E-03
6.38E-05,3.09E-03
6.42E-05,3.10E-03
6.46E-05,3.11E-03
6.49E-05,3.12E-03
6.53E-05,3.13E-03
6.57E-05,3.13E-03
6.61E-05,3.14E-03
6.65E-05,3.15E-03
6.68E-05,3.16E-03
6.72E-05,3.17E-03
6.76E-05,3.18E-03
6.80E-05,3.19E-03
6.85E-05,3.20E-03
6.89E-05,3.21E-03
6.93E-05,3.21E-03
6.97E-05,3.22E-03
7.02E-05,3.23E-03
7.06E-05,3.24E-03
7.10E-05,3.25E-03
7.15E-05,3.26E-03
7.19E-05,3.27E-03
7.24E-05,3.28E-03
7.28E-05,3.28E-03
7.33E-05,3.29E-03
7.38E-05,3.30E-03
7.42E-05,3.31E-03
7.47E-05,3.32E-03
7.52E-05,3.33E-03
7.57E-05,3.34E-03
7.62E-05,3.35E-03
7.67E-05,3.35E-03
7.72E-05,3.36E-03
7.77E-05,3.37E-03
7.82E-05,3.38E-03
7.87E-05,3.39E-03
7.92E-05,3.40E-03
7.98E-05,3.41E-03
8.03E-05,3.41E-03
8.08E-05,3.42E-03
8.14E-05,3.43E-03
8.19E-05,3.44E-03
8.25E-05,3.45E-03
8.30E-05,3.46E-03
8.36E-05,3.46E-03
8.42E-05,3.47E-03
8.47E-05,3.48E-03
8.53E-05,3.49E-03
8.59E-05,3.50E-03
8.65E-05,3.51E-03
8.71E-05,3.51E-03
8.77E-05,3.52E-03
8.83E-05,3.53E-03
8.89E-05,3.54E-03
8.95E-05,3.55E-03
9.01E-05,3.56E-03
9.07E-05,3.56E-03
9.14E-05,3.57E-03
9.20E-05,3.58E-03
9.26E-05,3.59E-03
9.33E-05,3.60E-03
9.39E-05,3.60E-03
9.46E-05,3.61E-03
9.52E-05,3.62E-03
9.59E-05,3.63E-03
9.66E-05,3.64E-03
9.73E-05,3.65E-03
9.79E-05,3.65E-03
9.86E-05,3.66E-03
9.93E-05,3.67E-03
0.000100006,0.003677914
0.000100708,0.003685957
0.000101415,0.003693986
0.000102128,0.003702003
0.000102846,0.003710007
0.000103569,0.003717999
0.000104298,0.003725978
0.000105032,0.003733944
0.000105772,0.003741897
0.000106516,0.003749839
0.000107267,0.003757767
0.000108023,0.003765684
0.000108784,0.003773587
0.00010955,0.003781479
0.000110322,0.003789358
0.0001111,0.003797225
0.000111883,0.00380508
0.000112672,0.003812922
0.000113466,0.003820753
0.000114265,0.003828571
0.00011507,0.003836377
0.000115881,0.003844171
0.000116697,0.003851953
0.000117518,0.003859723
0.000118345,0.003867482
0.000119178,0.003875228
0.000120017,0.003882963
0.00012086,0.003890685
0.00012171,0.003898396
0.000122565,0.003906095
0.000123426,0.003913783
0.000124292,0.003921459
0.000125164,0.003929123
0.000126042,0.003936775
0.000126925,0.003944416
0.000127814,0.003952046
0.000128708,0.003959664
0.000129609,0.003967271
0.000130514,0.003974866
0.000131426,0.00398245
0.000132344,0.003990022
0.000133267,0.003997584
0.000134195,0.004005134
0.00013513,0.004012673
0.00013607,0.0040202
0.000137016,0.004027717
0.000137968,0.004035222
0.000138926,0.004042717
0.000139889,0.0040502
0.000140858,0.004057673
0.000141833,0.004065134
0.000142814,0.004072585
0.000143801,0.004080025
0.000144793,0.004087454
0.000145791,0.004094872
0.000146796,0.004102279
0.000147806,0.004109676
0.000148822,0.004117062
0.000149843,0.004124437
0.000150871,0.004131802
0.000151904,0.004139156
0.000152944,0.004146499
0.000153989,0.004153833
0.000155041,0.004161155
0.000156098,0.004168467
0.000157161,0.004175769
0.00015823,0.004183061
0.000159305,0.004190342
0.000160386,0.004197613
0.000161474,0.004204874
0.000162567,0.004212124
0.000163666,0.004219364
0.000164771,0.004226595
0.000165882,0.004233815
0.000166999,0.004241025
0.000168122,0.004248225
0.000169251,0.004255415
0.000170387,0.004262595
0.000171528,0.004269765
0.000172675,0.004276926
0.000173829,0.004284076
0.000174988,0.004291217
0.000176154,0.004298348
0.000177326,0.004305469
0.000178504,0.00431258
0.000179688,0.004319682
0.000180878,0.004326774
0.000182074,0.004333857
0.000183276,0.00434093
0.000184485,0.004347994
0.0001857,0.004355048
0.000186921,0.004362092
0.000188148,0.004369128
0.000189381,0.004376154
0.000190621,0.00438317
0.000191867,0.004390177
0.000193119,0.004397175
0.000194377,0.004404164
0.000195641,0.004411144
0.000196912,0.004418114
0.000198189,0.004425075
0.000199472,0.004432027
0.000200762,0.004438971
0.000202058,0.004445905
0.00020336,0.00445283
0.000204668,0.004459746
0.000205983,0.004466653
0.000207304,0.004473552
0.000208631,0.004480441
0.000209965,0.004487322
0.000211305,0.004494194
0.000212651,0.004501057
0.000214004,0.004507912
0.000215363,0.004514758
0.000216728,0.004521595
0.0002181,0.004528424
0.000219479,0.004535244
0.000220863,0.004542055
0.000222254,0.004548859
0.000223652,0.004555653
0.000225056,0.004562439
0.000226466,0.004569217
0.000227883,0.004575987
0.000229306,0.004582748
0.000230736,0.004589501
0.000232172,0.004596245
0.000233615,0.004602982
0.000235064,0.00460971
0.000236519,0.00461643
0.000237981,0.004623142
0.00023945,0.004629846
0.000240925,0.004636542
0.000242407,0.004643229
0.000243895,0.004649909
0.00024539,0.004656581
0.000246891,0.004663245
0.000248399,0.004669901
0.000249914,0.00467655
0.000251435,0.00468319
0.000252962,0.004689823
0.000254496,0.004696448
0.000256037,0.004703065
0.000257584,0.004709674
0.000259138,0.004716276
