tod6 50,tod6 100,tod6 50,tod6 100
0,0,-7.13E-05,-6.58E-05
0,0,-6.29E-05,-6.38E-05
0,0,-5.46E-05,-6.17E-05
0,0,-4.63E-05,-5.97E-05
0,0,-3.80E-05,-5.77E-05
0,0,-2.97E-05,-5.56E-05
0,0,-2.15E-05,-5.36E-05
0,0,-1.33E-05,-5.16E-05
0,0,-5.14E-06,-4.96E-05
0,0,3.00E-06,-4.76E-05
0,0,1.11E-05,-4.55E-05
0,0,1.92E-05,-4.35E-05
0,0,2.72E-05,-4.15E-05
0,0,3.53E-05,-3.95E-05
0,0,4.33E-05,-3.75E-05
0,0,5.12E-05,-3.55E-05
0,0,5.92E-05,-3.36E-05
0,0,6.71E-05,-3.16E-05
0,0,7.49E-05,-2.96E-05
0,0,8.28E-05,-2.76E-05
0,0,9.06E-05,-2.56E-05
0,0,9.84E-05,-2.36E-05
0,0,0.000106185,-2.17E-05
0,0,0.000113923,-1.97E-05
0,0,0.000121632,-1.77E-05
0,0,0.000129313,-1.58E-05
0,0,0.000136966,-1.38E-05
0,0,0.000144591,-1.19E-05
0,0,0.000152187,-9.92E-06
0,0,0.000159756,-7.98E-06
0,0,0.000167296,-6.03E-06
0,0,0.000174808,-4.09E-06
0,0,0.000182292,-2.15E-06
0,0,0.000189748,-2.17E-07
0,0,0.000197175,1.71E-06
0,0,0.000204575,3.64E-06
0,0,0.000211947,5.57E-06
0,0,0.000219291,7.49E-06
0,0,0.000226607,9.41E-06
0,0,0.000233895,1.13E-05
0,0,0.000241155,1.32E-05
0,0,0.000248387,1.51E-05
0,0,0.000255591,1.70E-05
0,0,0.000262768,1.90E-05
0,0,0.000269917,2.09E-05
0,0,0.000277038,2.27E-05
0,0,0.000284132,2.46E-05
0,0,0.000291198,2.65E-05
0,0,0.000298236,2.84E-05
0,0,0.000305247,3.03E-05
0,0,0.00031223,3.22E-05
0,0,0.000319185,3.41E-05
0,0,0.000326113,3.59E-05
0,0,0.000333014,3.78E-05
0,0,0.000339887,3.97E-05
0,0,0.000346733,4.15E-05
0,0,0.000353551,4.34E-05
0,0,0.000360342,4.53E-05
0,0,0.000367105,4.71E-05
0,0,0.000373841,4.90E-05
0,0,0.00038055,5.08E-05
0,0,0.000387232,5.27E-05
0,0,0.000393886,5.45E-05
0,0,0.000400514,5.63E-05
0,0,0.000407114,5.82E-05
0,0,0.000413687,6.00E-05
0,0,0.000420232,6.18E-05
0,0,0.000426751,6.37E-05
0,0,0.000433243,6.55E-05
0,0,0.000439708,6.73E-05
0,0,0.000446145,6.91E-05
0,0,0.000452556,7.09E-05
0,0,0.00045894,7.27E-05
0,0,0.000465296,7.46E-05
0,0,0.000471626,7.64E-05
0,0,0.00047793,7.82E-05
0,0,0.000484206,8.00E-05
0,0,0.000490455,8.18E-05
0,0,0.000496678,8.35E-05
0,0,0.000502874,8.53E-05
0,0,0.000509043,8.71E-05
0,0,0.000515186,8.89E-05
0,0,0.000521302,9.07E-05
0,0,0.000527391,9.25E-05
0,0,0.000533454,9.42E-05
0,0,0.00053949,9.60E-05
0,0,0.0005455,9.78E-05
0,0,0.000551483,9.95E-05
0,0,0.000557439,0.00010131
0,0,0.00056337,0.00010307
0,0,0.000569273,0.000104826
0,0,0.000575151,0.00010658
0,0,0.000581002,0.00010833
0,0,0.000586826,0.000110078
0,0,0.000592625,0.000111822
0,0,0.000598397,0.000113564
0,0,0.000604142,0.000115302
0,0,0.000609862,0.000117038
0,0,0.000615555,0.00011877
0,0,0.000621222,0.0001205
0,0,0.000626864,0.000122226
0,0,0.000632478,0.00012395
0,0,0.000638067,0.000125671
0,0,0.00064363,0.000127388
0,0,0.000649167,0.000129103
0,0,0.000654678,0.000130815
0,0,0.000660162,0.000132524
0,0,0.000665621,0.00013423
0,0,0.000671054,0.000135933
0,0,0.000676461,0.000137633
0,0,0.000681842,0.00013933
