caf4 50,caf4 100,caf4 50,caf4 100
0,0,-0.000497027,0.000308617
0,0,-0.000494731,0.000316867
0,0,-0.000492438,0.000325102
0,0,-0.000490149,0.000333322
0,0,-0.000487863,0.000341527
0,0,-0.00048558,0.000349717
0,0,-0.0004833,0.000357891
0,0,-0.000481023,0.000366051
0,0,-0.00047875,0.000374196
0,0,-0.00047648,0.000382326
0,0,-0.000474213,0.000390441
0,0,-0.000471949,0.000398541
0,0,-0.000469689,0.000406627
0,0,-0.000467431,0.000414697
0,0,-0.000465177,0.000422753
0,0,-0.000462926,0.000430794
0,0,-0.000460677,0.000438821
0,0,-0.000458432,0.000446833
0,0,-0.00045619,0.00045483
0,0,-0.000453951,0.000462813
0,0,-0.000451715,0.000470781
0,0,-0.000449482,0.000478734
0,0,-0.000447252,0.000486673
0,0,-0.000445026,0.000494598
0,0,-0.000442802,0.000502508
0,0,-0.000440581,0.000510404
0,0,-0.000438363,0.000518285
0,0,-0.000436147,0.000526153
0,0,-0.000433935,0.000534005
0,0,-0.000431726,0.000541844
0,0,-0.00042952,0.000549668
0,0,-0.000427316,0.000557478
0,0,-0.000425116,0.000565274
0,0,-0.000422918,0.000573056
0,0,-0.000420723,0.000580824
0,0,-0.000418531,0.000588577
0,0,-0.000416342,0.000596317
0,0,-0.000414156,0.000604042
0,0,-0.000411972,0.000611754
0,0,-0.000409791,0.000619452
0,0,-0.000407613,0.000627135
0,0,-0.000405438,0.000634805
0,0,-0.000403265,0.000642461
0,0,-0.000401095,0.000650103
0,0,-0.000398928,0.000657731
0,0,-0.000396764,0.000665346
0,0,-0.000394602,0.000672947
0,0,-0.000392443,0.000680534
0,0,-0.000390287,0.000688107
0,0,-0.000388133,0.000695667
0,0,-0.000385982,0.000703213
0,0,-0.000383834,0.000710745
0,0,-0.000381688,0.000718264
0,0,-0.000379545,0.00072577
0,0,-0.000377404,0.000733262
0,0,-0.000375266,0.00074074
0,0,-0.00037313,0.000748205
0,0,-0.000370997,0.000755657
0,0,-0.000368867,0.000763095
