rad6 50,rad6 100
-0.001942927,0.003141028
-0.001950074,0.003144874
-0.001957188,0.003148734
-0.001964266,0.003152608
-0.001971311,0.003156497
-0.001978321,0.0031604
-0.001985296,0.003164317
-0.001992237,0.003168249
-0.001999144,0.003172196
-0.002006016,0.003176156
-0.002012855,0.003180131
-0.002019658,0.003184121
-0.002026428,0.003188125
-0.002033164,0.003192143
-0.002039865,0.003196175
-0.002046533,0.003200222
-0.002053166,0.003204284
-0.002059765,0.003208359
-0.00206633,0.003212449
-0.002072862,0.003216553
-0.002079359,0.003220672
-0.002085822,0.003224805
-0.002092252,0.003228952
-0.002098647,0.003233114
-0.002105009,0.00323729
-0.002111337,0.003241481
-0.002117632,0.003245685
-0.002123892,0.003249904
-0.002130119,0.003254138
-0.002136313,0.003258385
-0.002142472,0.003262647
-0.002148599,0.003266923
-0.002154691,0.003271214
-0.00216075,0.003275519
-0.002166776,0.003279838
-0.002172768,0.003284172
-0.002178727,0.003288519
-0.002184652,0.003292882
-0.002190544,0.003297258
-0.002196403,0.003301649
-0.002202228,0.003306054
-0.00220802,0.003310473
-0.002213779,0.003314906
-0.002219505,0.003319354
-0.002225198,0.003323816
-0.002230857,0.003328293
-0.002236483,0.003332783
-0.002242077,0.003337288
-0.002247637,0.003341807
-0.002253164,0.003346341
-0.002258658,0.003350888
-0.00226412,0.00335545
-0.002269548,0.003360026
-0.002274944,0.003364617
-0.002280307,0.003369221
-0.002285637,0.00337384
-0.002290934,0.003378473
-0.002296198,0.003383121
-0.00230143,0.003387782
-0.002306629,0.003392458
-0.002311796,0.003397148
-0.00231693,0.003401852
-0.002322031,0.00340657
-0.0023271,0.003411303
-0.002332136,0.00341605
-0.00233714,0.003420811
-0.002342111,0.003425586
-0.00234705,0.003430375
-0.002351956,0.003435179
-0.002356831,0.003439997
-0.002361672,0.003444829
-0.002366482,0.003449675
-0.002371259,0.003454535
-0.002376004,0.00345941
-0.002380717,0.003464298
-0.002385398,0.003469201
-0.002390047,0.003474118
-0.002394663,0.003479049
-0.002399248,0.003483994
-0.0024038,0.003488954
-0.00240832,0.003493927
-0.002412809,0.003498915
-0.002417265,0.003503917
-0.00242169,0.003508933
