sus1 50,sus1 100,sus1 50,sus1 100
0,0,0.000715731,0.00141288
0,0,0.000717099,0.001415611
0,0,0.000718465,0.001418343
0,0,0.00071983,0.001421076
0,0,0.000721195,0.001423809
0,0,0.000722558,0.001426544
0,0,0.000723919,0.001429279
0,0,0.00072528,0.001432015
0,0,0.00072664,0.001434752
0,0,0.000727999,0.00143749
0,0,0.000729357,0.001440229
0,0,0.000730713,0.001442969
0,0,0.000732069,0.00144571
0,0,0.000733423,0.001448452
0,0,0.000734777,0.001451195
0,0,0.00073613,0.001453939
0,0,0.000737481,0.001456684
0,0,0.000738832,0.001459429
0,0,0.000740182,0.001462176
0,0,0.000741531,0.001464924
0,0,0.000742879,0.001467673
0,0,0.000744226,0.001470423
0,0,0.000745572,0.001473174
0,0,0.000746917,0.001475926
0,0,0.000748261,0.00147868
0,0,0.000749605,0.001481434
0,0,0.000750947,0.001484189
0,0,0.000752289,0.001486946
0,0,0.00075363,0.001489704
0,0,0.00075497,0.001492462
0,0,0.00075631,0.001495222
0,0,0.000757648,0.001497983
0,0,0.000758986,0.001500746
0,0,0.000760323,0.001503509
0,0,0.000761659,0.001506274
0,0,0.000762995,0.00150904
0,0,0.000764329,0.001511807
0,0,0.000765663,0.001514575
0,0,0.000766997,0.001517344
0,0,0.000768329,0.001520115
0,0,0.000769661,0.001522887
0,0,0.000770993,0.00152566
0,0,0.000772323,0.001528434
0,0,0.000773653,0.00153121
0,0,0.000774982,0.001533987
0,0,0.000776311,0.001536765
0,0,0.000777639,0.001539545
0,0,0.000778967,0.001542326
0,0,0.000780293,0.001545108
0,0,0.00078162,0.001547892
0,0,0.000782945,0.001550677
0,0,7.84E-04,0.001553463
0,0,7.86E-04,0.00155625
0,0,7.87E-04,0.001559039
0,0,7.88E-04,0.00156183
0,0,7.90E-04,0.001564621
0,0,7.91E-04,0.001567415
0,0,7.92E-04,0.001570209
0,0,7.94E-04,0.001573005
0,0,7.95E-04,0.001575802
0,0,7.96E-04,0.001578601
0,0,7.97E-04,0.001581402
0,0,7.99E-04,0.001584203
0,0,8.00E-04,0.001587006
0,0,8.01E-04,0.001589811
0,0,0.00080277,0.001592617
0,0,0.000804089,0.001595425
0,0,0.000805406,0.001598234
0,0,0.000806724,0.001601045
0,0,0.000808041,0.001603857
0,0,0.000809358,0.001606671
0,0,0.000810674,0.001609486
0,0,0.00081199,0.001612303
0,0,0.000813306,0.001615121
0,0,0.000814621,0.001617941
0,0,0.000815936,0.001620763
0,0,0.000817251,0.001623586
0,0,0.000818566,0.00162641
0,0,0.00081988,0.001629237
0,0,0.000821194,0.001632065
0,0,0.000822508,0.001634894
0,0,0.000823822,0.001637725
0,0,0.000825136,0.001640558
0,0,0.000826449,0.001643393
0,0,0.000827762,0.001646229
0,0,0.000829075,0.001649067
0,0,0.000830388,0.001651906
0,0,0.0008317,0.001654747
0,0,0.000833013,0.00165759
0,0,0.000834325,0.001660435
0,0,0.000835637,0.001663281
0,0,0.00083695,0.001666129
0,0,0.000838262,0.001668979
0,0,0.000839574,0.001671831
0,0,0.000840885,0.001674684
0,0,0.000842197,0.001677539
0,0,0.000843509,0.001680396
0,0,0.000844821,0.001683255
0,0,0.000846133,0.001686115
0,0,0.000847444,0.001688978
0,0,0.000848756,0.001691842
0,0,0.000850068,0.001694708
0,0,0.000851379,0.001697575
0,0,0.000852691,0.001700445
0,0,0.000854003,0.001703316
0,0,0.000855315,0.001706189
0,0,0.000856627,0.001709065
0,0,0.000857938,0.001711942
0,0,0.000859251,0.001714821
0,0,0.000860563,0.001717701
0,0,0.000861875,0.001720584
0,0,0.000863187,0.001723469
0,0,0.0008645,0.001726355
0,0,0.000865812,0.001729244
0,0,0.000867125,0.001732134
0,0,0.000868438,0.001735026
0,0,0.000869751,0.001737921
0,0,0.000871064,0.001740817
0,0,0.000872378,0.001743715
0,0,0.000873691,0.001746616
0,0,0.000875005,0.001749518
0,0,0.000876319,0.001752422
0,0,0.000877634,0.001755328
0,0,0.000878948,0.001758237
0,0,0.000880263,0.001761147
0,0,0.000881578,0.001764059
0,0,0.000882894,0.001766974
0,0,0.000884209,0.00176989
0,0,0.000885525,0.001772809
0,0,0.000886842,0.001775729
0,0,0.000888158,0.001778652
0,0,0.000889475,0.001781577
0,0,0.000890792,0.001784503
0,0,0.00089211,0.001787432
0,0,0.000893428,0.001790363
0,0,0.000894746,0.001793297
0,0,0.000896065,0.001796232
0,0,0.000897384,0.00179917
0,0,0.000898704,0.001802109
0,0,0.000900024,0.001805051
0,0,0.000901344,0.001807995
0,0,0.000902665,0.001810941
0,0,0.000903986,0.001813889
0,0,0.000905308,0.00181684
0,0,0.00090663,0.001819793
0,0,0.000907953,0.001822748
0,0,0.000909276,0.001825705
0,0,0.000910599,0.001828664
0,0,0.000911924,0.001831626
0,0,0.000913248,0.00183459
0,0,0.000914574,0.001837556
0,0,0.000915899,0.001840524
0,0,0.000917226,0.001843495
0,0,0.000918552,0.001846468
0,0,0.00091988,0.001849443
0,0,0.000921208,0.001852421
0,0,0.000922537,0.001855401
0,0,0.000923866,0.001858383
0,0,0.000925196,0.001861368
0,0,0.000926526,0.001864355
0,0,0.000927857,0.001867344
0,0,0.000929189,0.001870335
0,0,0.000930522,0.001873329
0,0,0.000931855,0.001876326
0,0,0.000933188,0.001879324
0,0,0.000934523,0.001882325
0,0,0.000935858,0.001885329
0,0,0.000937194,0.001888335
0,0,0.00093853,0.001891343
0,0,0.000939868,0.001894354
0,0,0.000941206,0.001897367
0,0,0.000942545,0.001900382
0,0,0.000943884,0.0019034
0,0,0.000945224,0.001906421
0,0,0.000946566,0.001909444
0,0,0.000947908,0.001912469
0,0,0.00094925,0.001915497
0,0,0.000950594,0.001918527
0,0,0.000951938,0.00192156
0,0,0.000953283,0.001924595
0,0,0.000954629,0.001927633
0,0,0.000955976,0.001930673
0,0,0.000957324,0.001933716
0,0,0.000958672,0.001936762
0,0,0.000960022,0.00193981
0,0,0.000961372,0.00194286
0,0,0.000962724,0.001945913
0,0,0.000964076,0.001948969
0,0,0.000965429,0.001952027
0,0,0.000966783,0.001955088
0,0,0.000968138,0.001958151
0,0,0.000969494,0.001961217
0,0,0.000970851,0.001964286
0,0,0.000972209,0.001967357
0,0,0.000973568,0.001970431
0,0,0.000974928,0.001973508
0,0,0.000976288,0.001976587
0,0,0.00097765,0.001979669
0,0,0.000979013,0.001982753
0,0,0.000980377,0.00198584
0,0,0.000981742,0.00198893
0,0,0.000983108,0.001992023
0,0,0.000984475,0.001995118
0,0,0.000985843,0.001998216
0,0,0.000987213,0.002001316
0,0,0.000988583,0.002004419
0,0,0.000989955,0.002007525
0,0,0.000991327,0.002010634
0,0,0.000992701,0.002013746
0,0,0.000994076,0.00201686
0,0,0.000995452,0.002019977
0,0,0.000996829,0.002023097
0,0,0.000998207,0.002026219
0,0,0.000999587,0.002029344
0,0,0.001000967,0.002032473
0,0,0.001002349,0.002035603
0,0,0.001003732,0.002038737
0,0,0.001005116,0.002041874
0,0,0.001006502,0.002045013
0,0,0.001007889,0.002048155
0,0,0.001009277,0.0020513
0,0,0.001010666,0.002054448
0,0,0.001012056,0.002057599
0,0,0.001013448,0.002060752
0,0,0.001014841,0.002063908
0,0,0.001016235,0.002067068
0,0,0.001017631,0.00207023
0,0,0.001019028,0.002073395
0,0,0.001020426,0.002076563
0,0,0.001021826,0.002079734
0,0,0.001023227,0.002082908
0,0,0.001024629,0.002086084
0,0,0.001026033,0.002089264
0,0,0.001027438,0.002092446
0,0,0.001028844,0.002095632
0,0,0.001030252,0.00209882
0,0,0.001031661,0.002102012
0,0,0.001033071,0.002105206
0,0,0.001034483,0.002108403
0,0,0.001035897,0.002111604
0,0,0.001037312,0.002114807
0,0,0.001038728,0.002118013
0,0,0.001040146,0.002121223
0,0,0.001041565,0.002124435
0,0,0.001042986,0.00212765
0,0,0.001044408,0.002130869
0,0,0.001045831,0.00213409
0,0,0.001047257,0.002137315
0,0,0.001048683,0.002140542
0,0,0.001050111,0.002143773
0,0,0.001051541,0.002147006
0,0,0.001052973,0.002150243
0,0,0.001054405,0.002153483
0,0,0.00105584,0.002156726
0,0,0.001057276,0.002159972
0,0,0.001058713,0.002163221
0,0,0.001060152,0.002166473
0,0,0.001061593,0.002169728
0,0,0.001063035,0.002172987
0,0,0.001064479,0.002176248
0,0,0.001065925,0.002179513
0,0,0.001067372,0.002182781
0,0,0.001068821,0.002186052
0,0,0.001070272,0.002189326
0,0,0.001071724,0.002192603
0,0,0.001073178,0.002195884
0,0,0.001074633,0.002199168
0,0,0.00107609,0.002202455
0,0,0.001077549,0.002205745
0,0,0.00107901,0.002209038
0,0,0.001080472,0.002212335
0,0,0.001081936,0.002215634
0,0,0.001083402,0.002218937
0,0,0.00108487,0.002222244
0,0,0.001086339,0.002225553
0,0,0.00108781,0.002228866
0,0,0.001089283,0.002232182
0,0,0.001090758,0.002235501
0,0,0.001092234,0.002238824
0,0,0.001093712,0.00224215
0,0,0.001095192,0.002245479
0,0,0.001096674,0.002248811
0,0,0.001098158,0.002252147
0,0,0.001099644,0.002255486
0,0,0.001101131,0.002258828
0,0,0.00110262,0.002262174
0,0,0.001104111,0.002265523
0,0,0.001105604,0.002268875
0,0,0.001107099,0.002272231
0,0,0.001108596,0.00227559
0,0,0.001110095,0.002278952
0,0,0.001111595,0.002282318
0,0,0.001113098,0.002285687
0,0,0.001114602,0.00228906
