nut1 50,nut1 100
0.001401062,0.00081863
0.00140206,0.000820708
0.001403068,0.000822799
0.001404086,0.000824904
0.001405114,0.000827022
0.001406151,0.000829153
0.001407199,0.000831298
0.001408257,0.000833456
0.001409324,0.000835627
0.001410402,0.000837811
0.001411489,0.000840009
0.001412587,0.00084222
0.001413694,0.000844444
1.41E-03,8.47E-04
1.42E-03,8.49E-04
1.42E-03,8.51E-04
1.42E-03,8.53E-04
1.42E-03,8.56E-04
1.42E-03,8.58E-04
1.42E-03,8.60E-04
1.42E-03,8.63E-04
1.42E-03,8.65E-04
1.43E-03,8.67E-04
1.43E-03,8.70E-04
1.43E-03,8.72E-04
1.43E-03,8.75E-04
1.43E-03,8.77E-04
1.43E-03,8.79E-04
1.43E-03,8.82E-04
1.43E-03,8.84E-04
1.44E-03,8.87E-04
1.44E-03,8.89E-04
1.44E-03,8.92E-04
1.44E-03,8.94E-04
1.44E-03,8.97E-04
1.44E-03,8.99E-04
0.001443261,0.000901752
0.001444618,0.000904302
0.001445985,0.000906865
0.001447361,0.000909441
0.001448748,0.00091203
0.001450145,0.000914631
0.001451552,0.000917245
0.001452969,0.000919872
0.001454395,0.000922512
0.001455832,0.000925165
0.001457279,0.00092783
0.001458736,0.000930509
0.001460203,0.000933199
0.00146168,0.000935903
0.001463166,0.000938619
0.001464663,0.000941348
0.00146617,0.00094409
0.001467687,0.000946844
0.001469214,0.000949611
0.001470751,0.000952391
0.001472298,0.000955183
0.001473855,0.000957988
0.001475423,0.000960805
0.001477,0.000963635
0.001478587,0.000966478
0.001480184,0.000969333
0.001481792,0.0009722
0.001483409,0.000975081
0.001485036,0.000977973
0.001486674,0.000980878
0.001488321,0.000983796
0.001489979,0.000986726
0.001491646,0.000989669
0.001493324,0.000992624
0.001495012,0.000995591
0.001496709,0.000998571
0.001498417,0.001001564
0.001500135,0.001004568
0.001501863,0.001007585
0.001503601,0.001010615
0.001505349,0.001013657
0.001507107,0.001016711
0.001508875,0.001019777
0.001510653,0.001022856
0.001512442,0.001025947
0.00151424,0.00102905
0.001516049,0.001032166
0.001517867,0.001035294
0.001519696,0.001038434
0.001521535,0.001041587
0.001523383,0.001044751
0.001525242,0.001047928
0.001527111,0.001051117
0.00152899,0.001054318
0.001530879,0.001057532
0.001532778,0.001060757
0.001534688,0.001063995
0.001536607,0.001067245
0.001538537,0.001070507
0.001540476,0.001073781
0.001542426,0.001077067
0.001544386,0.001080365
0.001546355,0.001083675
0.001548335,0.001086998
0.001550325,0.001090332
0.001552326,0.001093679
0.001554336,0.001097037
0.001556356,0.001100407
0.001558387,0.00110379
0.001560427,0.001107184
0.001562478,0.001110591
0.001564539,0.001114009
0.001566609,0.001117439
0.00156869,0.001120881
0.001570782,0.001124335
0.001572883,0.001127801
0.001574994,0.001131279
0.001577116,0.001134769
0.001579247,0.001138271
0.001581389,0.001141784
0.001583541,0.00114531
0.001585703,0.001148847
0.001587875,0.001152396
0.001590057,0.001155956
0.001592249,0.001159529
0.001594452,0.001163113
0.001596664,0.001166709
0.001598887,0.001170317
0.00160112,0.001173937
0.001603362,0.001177568
0.001605616,0.001181211
