med8 50,med8 100,med8 50,med8 100
0,0,0.007883341,0.002723864
0,0,0.007830617,0.00270578
0,0,0.007778059,0.002687747
0,0,0.007725669,0.002669765
0,0,0.007673444,0.002651834
0,0,0.007621385,0.002633954
0,0,0.007569492,0.002616126
0,0,0.007517764,0.002598348
0,0,0.007466201,0.002580622
0,0,0.007414803,0.002562946
0,0,0.007363569,0.002545321
0,0,0.0073125,0.002527746
0,0,0.007261595,0.002510223
0,0,0.007210853,0.00249275
0,0,0.007160276,0.002475328
0,0,0.007109861,0.002457956
0,0,0.00705961,0.002440634
0,0,0.007009521,0.002423364
0,0,0.006959595,0.002406143
0,0,0.006909831,0.002388973
0,0,0.006860229,0.002371853
0,0,0.006810789,0.002354783
0,0,0.00676151,0.002337764
0,0,0.006712393,0.002320794
0,0,0.006663437,0.002303875
0,0,0.006614641,0.002287006
0,0,0.006566006,0.002270186
0,0,0.006517532,0.002253417
0,0,0.006469217,0.002236697
0,0,0.006421062,0.002220027
0,0,0.006373066,0.002203407
0,0,0.00632523,0.002186836
0,0,0.006277553,0.002170316
0,0,0.006230034,0.002153844
0,0,0.006182674,0.002137423
0,0,0.006135472,0.00212105
0,0,0.006088429,0.002104727
0,0,0.006041543,0.002088454
0,0,0.005994814,0.00207223
0,0,0.005948243,0.002056055
0,0,0.005901828,0.002039929
0,0,0.005855571,0.002023853
0,0,0.00580947,0.002007825
0,0,0.005763525,0.001991847
0,0,0.005717737,0.001975918
0,0,0.005672104,0.001960037
0,0,0.005626626,0.001944206
0,0,0.005581304,0.001928423
0,0,0.005536137,0.001912689
0,0,0.005491124,0.001897004
0,0,0.005446267,0.001881367
0,0,0.005401563,0.00186578
0,0,0.005357014,0.00185024
0,0,0.005312618,0.00183475
0,0,0.005268376,0.001819307
0,0,0.005224287,0.001803913
0,0,0.005180351,1.79E-03
0,0,0.005136568,1.77E-03
0,0,0.005092938,1.76E-03
0,0,0.00504946,1.74E-03
0,0,0.005006134,1.73E-03
0,0,0.00496296,1.71E-03
0,0,0.004919938,1.70E-03
0,0,0.004877067,1.68E-03
0,0,0.004834347,1.67E-03
0,0,0.004791778,1.65E-03
0,0,0.004749359,1.64E-03
0,0,0.004707091,1.62E-03
0,0,0.004664973,1.61E-03
0,0,0.004623005,1.59E-03
0,0,0.004581187,1.58E-03
0,0,0.004539518,0.001564156
0,0,0.004497998,0.001549578
0,0,0.004456628,0.001535047
0,0,0.004415406,0.001520563
0,0,0.004374332,0.001506127
0,0,0.004333407,0.001491739
0,0,0.00429263,0.001477397
0,0,0.004252,0.001463103
0,0,0.004211518,0.001448856
0,0,0.004171184,0.001434656
0,0,0.004130996,0.001420503
0,0,0.004090955,0.001406398
0,0,0.004051061,0.001392339
0,0,0.004011313,0.001378327
0,0,0.003971711,0.001364362
0,0,0.003932255,0.001350444
0,0,0.003892945,0.001336573
0,0,0.00385378,0.001322749
0,0,0.00381476,0.001308971
0,0,0.003775885,0.00129524
0,0,0.003737155,1.28E-03
0,0,0.003698569,1.27E-03
0,0,0.003660127,1.25E-03
0,0,0.00362183,1.24E-03
0,0,0.003583676,1.23E-03
0,0,0.003545665,1.21E-03
0,0,0.003507798,1.20E-03
0,0,0.003470074,1.19E-03
0,0,0.003432493,1.17E-03
0,0,0.003395054,1.16E-03
0,0,0.003357758,1.15E-03
0,0,0.003320604,1.13E-03
0,0,0.003283592,1.12E-03
0,0,0.003246721,1.11E-03
0,0,0.003209992,0.001094837
0,0,0.003173404,0.001081845
0,0,0.003136956,0.0010689
0,0,0.00310065,0.001056
0,0,0.003064484,0.001043145
0,0,0.003028458,0.001030337
0,0,0.002992573,0.001017574
0,0,0.002956827,0.001004856
0,0,0.002921221,0.000992184
0,0,0.002885754,0.000979558
0,0,0.002850426,0.000966977
0,0,0.002815237,0.000954441
0,0,0.002780187,0.00094195
0,0,0.002745275,0.000929505
0,0,0.002710501,0.000917105
0,0,0.002675865,0.000904751
0,0,0.002641368,0.000892441
0,0,0.002607007,0.000880176
0,0,0.002572784,0.000867957
0,0,0.002538698,0.000855782
0,0,0.002504748,0.000843653
0,0,0.002470936,0.000831568
0,0,0.002437259,0.000819528
0,0,0.002403719,0.000807533
0,0,0.002370315,0.000795582
0,0,0.002337046,0.000783677
0,0,0.002303913,0.000771815
0,0,0.002270916,0.000759999
0,0,0.002238053,0.000748227
0,0,0.002205325,0.000736499
0,0,0.002172731,0.000724816
0,0,0.002140272,0.000713178
0,0,0.002107947,0.000701583
0,0,0.002075756,0.000690033
0,0,0.002043699,0.000678528
0,0,0.002011775,0.000667066
0,0,0.001979984,0.000655649
0,0,0.001948327,0.000644276
0,0,0.001916802,0.000632946
0,0,0.001885409,0.000621661
0,0,0.001854149,0.00061042
0,0,0.001823022,0.000599223
0,0,0.001792026,0.000588069
0,0,0.001761161,0.00057696
0,0,0.001730429,0.000565894
0,0,0.001699827,0.000554872
0,0,0.001669356,0.000543893
0,0,0.001639017,0.000532959
0,0,0.001608807,0.000522067
0,0,0.001578729,0.00051122
0,0,0.00154878,0.000500416
0,0,0.001518961,0.000489655
0,0,0.001489272,0.000478938
0,0,0.001459712,0.000468264
0,0,0.001430282,0.000457633
0,0,0.001400981,0.000447046
0,0,0.001371808,0.000436502
0,0,0.001342764,0.000426001
0,0,0.001313849,0.000415543
0,0,0.001285061,0.000405128
0,0,0.001256402,0.000394756
0,0,0.00122787,0.000384428
0,0,0.001199466,0.000374142
0,0,0.00117119,0.000363899
0,0,0.00114304,0.000353699
0,0,0.001115017,0.000343542
0,0,0.001087121,0.000333427
0,0,0.001059351,0.000323355
0,0,0.001031707,0.000313326
0,0,0.00100419,0.00030334
0,0,0.000976798,0.000293396
0,0,0.000949532,0.000283494
0,0,0.000922391,0.000273635
0,0,0.000895376,0.000263819
0,0,0.000868485,0.000254045
0,0,0.000841719,0.000244313
0,0,0.000815078,0.000234623
0,0,0.00078856,0.000224976
0,0,0.000762167,0.000215371
0,0,0.000735898,0.000205808
0,0,0.000709753,0.000196287
0,0,0.00068373,0.000186808
0,0,0.000657832,0.000177372
0,0,0.000632056,0.000167977
0,0,0.000606403,0.000158624
0,0,0.000580872,0.000149313
0,0,0.000555464,0.000140044
0,0,0.000530178,0.000130817
0,0,0.000505014,0.000121632
0,0,0.000479972,0.000112488
0,0,0.000455052,0.000103386
0,0,0.000430253,9.43E-05
0,0,0.000405574,8.53E-05
0,0,0.000381017,7.63E-05
0,0,0.000356581,6.74E-05
0,0,0.000332265,5.85E-05
0,0,0.000308069,4.96E-05
0,0,0.000283993,4.08E-05
0,0,0.000260038,3.21E-05
0,0,0.000236202,2.33E-05
0,0,0.000212485,1.46E-05
0,0,0.000188888,6.00E-06
0,0,0.000165409,-2.61E-06
0,0,0.00014205,-1.12E-05
0,0,0.000118809,-1.97E-05
0,0,9.57E-05,-2.82E-05
0,0,7.27E-05,-3.66E-05
0,0,4.98E-05,-4.50E-05
0,0,2.70E-05,-5.34E-05
0,0,4.38E-06,-6.17E-05
0,0,-1.82E-05,-7.00E-05
0,0,-4.06E-05,-7.82E-05
0,0,-6.29E-05,-8.64E-05
0,0,-8.51E-05,-9.46E-05
0,0,-0.00010712,-0.000102685
0,0,-0.000129069,-0.00011076
0,0,-0.000150903,-0.000118795
0,0,-0.00017262,-0.000126789
0,0,-0.000194222,-0.000134743
0,0,-0.000215708,-0.000142656
0,0,-0.000237078,-0.000150529
0,0,-0.000258334,-0.000158362
0,0,-0.000279474,-0.000166154
0,0,-0.0003005,-0.000173907
0,0,-0.000321412,-0.000181619
0,0,-0.000342208,-0.000189291
0,0,-0.000362891,-0.000196923
0,0,-0.00038346,-0.000204515
0,0,-0.000403915,-0.000212067
0,0,-0.000424257,-0.000219579
0,0,-0.000444485,-0.000227051
0,0,-0.0004646,-0.000234484
0,0,-0.000484603,-0.000241876
0,0,-0.000504492,-0.000249229
0,0,-0.000524269,-0.000256542
0,0,-0.000543934,-0.000263815
0,0,-0.000563486,-0.000271049
0,0,-0.000582927,-0.000278243
0,0,-0.000602255,-0.000285398
0,0,-0.000621473,-0.000292513
0,0,-0.000640578,-0.000299588
0,0,-0.000659573,-0.000306625
0,0,-0.000678457,-0.000313621
0,0,-0.00069723,-0.000320579
0,0,-0.000715893,-0.000327497
0,0,-0.000734445,-0.000334376
0,0,-0.000752887,-0.000341216
0,0,-0.000771219,-0.000348016
0,0,-0.000789441,-0.000354778
0,0,-0.000807554,-0.0003615
0,0,-0.000825558,-0.000368183
0,0,-0.000843452,-0.000374828
0,0,-0.000861237,-0.000381433
0,0,-0.000878914,-0.000387999
0,0,-0.000896482,-0.000394527
0,0,-0.000913941,-0.000401016
0,0,-0.000931292,-0.000407465
0,0,-0.000948536,-0.000413877
0,0,-0.000965671,-0.000420249
0,0,-0.000982699,-0.000426583
0,0,-0.00099962,-0.000432878
0,0,-0.001016433,-0.000439135
0,0,-0.001033139,-0.000445353
0,0,-0.001049739,-0.000451532
0,0,-0.001066231,-0.000457674
0,0,-0.001082618,-0.000463776
0,0,-0.001098898,-0.000469841
0,0,-0.001115072,-0.000475867
0,0,-0.00113114,-0.000481854
0,0,-0.001147103,-0.000487804
0,0,-0.00116296,-0.000493715
0,0,-0.001178711,-0.000499588
0,0,-0.001194358,-0.000505423
0,0,-0.0012099,-0.00051122
0,0,-0.001225337,-0.000516979
0,0,-0.001240669,-0.0005227
0,0,-0.001255897,-0.000528383
0,0,-0.001271021,-0.000534028
0,0,-0.001286041,-0.000539635
0,0,-0.001300957,-0.000545205
0,0,-0.00131577,-0.000550736
0,0,-0.001330479,-0.00055623
0,0,-0.001345085,-0.000561686
0,0,-0.001359588,-0.000567105
0,0,-0.001373989,-0.000572485
0,0,-0.001388286,-0.000577829
0,0,-0.001402481,-0.000583134
0,0,-0.001416574,-0.000588402
0,0,-0.001430565,-0.000593633
0,0,-0.001444454,-0.000598826
0,0,-0.001458241,-0.000603982
0,0,-0.001471927,-0.000609101
0,0,-0.001485511,-0.000614182
0,0,-0.001498995,-0.000619226
0,0,-0.001512377,-0.000624233
0,0,-0.001525659,-0.000629202
0,0,-0.00153884,-0.000634135
0,0,-0.00155192,-0.00063903
0,0,-0.001564901,-0.000643888
0,0,-0.001577781,-0.00064871
0,0,-0.001590562,-0.000653494
0,0,-0.001603243,-0.000658241
0,0,-0.001615824,-0.000662952
0,0,-0.001628306,-0.000667625
0,0,-0.00164069,-0.000672262
0,0,-0.001652974,-0.000676862
0,0,-0.001665159,-0.000681425
0,0,-0.001677246,-0.000685952
0,0,-0.001689235,-0.000690442
0,0,-0.001701125,-0.000694895
0,0,-0.001712918,-0.000699311
0,0,-0.001724612,-0.000703692
0,0,-0.001736209,-0.000708035
0,0,-0.001747709,-0.000712342
0,0,-0.001759111,-0.000716613
0,0,-0.001770416,-0.000720848
0,0,-0.001781624,-0.000725046
0,0,-0.001792736,-0.000729207
0,0,-0.001803751,-0.000733333
0,0,-0.00181467,-0.000737422
0,0,-0.001825492,-0.000741475
0,0,-0.001836219,-0.000745492
0,0,-0.00184685,-0.000749473
0,0,-0.001857385,-0.000753418
0,0,-0.001867825,-0.000757326
0,0,-0.001878169,-0.000761199
0,0,-0.001888418,-0.000765036
0,0,-0.001898573,-0.000768837
0,0,-0.001908632,-0.000772602
0,0,-0.001918597,-0.000776331
0,0,-0.001928468,-0.000780024
0,0,-0.001938245,-0.000783682
0,0,-0.001947927,-0.000787304
0,0,-0.001957516,-0.00079089
0,0,-0.001967011,-0.00079444
0,0,-0.001976413,-0.000797955
0,0,-0.001985721,-0.000801435
0,0,-0.001994936,-0.000804879
0,0,-0.002004058,-0.000808287
0,0,-0.002013088,-0.00081166
0,0,-0.002022024,-0.000814997
0,0,-0.002030869,-0.0008183
0,0,-0.002039621,-0.000821566
0,0,-0.002048281,-0.000824798
0,0,-0.002056849,-0.000827994
0,0,-0.002065326,-0.000831155
0,0,-0.002073711,-0.000834281
0,0,-0.002082004,-0.000837372
0,0,-0.002090207,-0.000840428
0,0,-0.002098318,-0.000843448
0,0,-0.002106339,-0.000846434
0,0,-0.002114269,-0.000849384
0,0,-0.002122108,-0.0008523
0,0,-0.002129857,-0.000855181
0,0,-0.002137516,-0.000858027
0,0,-0.002145085,-0.000860838
0,0,-0.002152564,-0.000863614
0,0,-0.002159954,-0.000866355
0,0,-0.002167254,-0.000869062
0,0,-0.002174465,-0.000871734
0,0,-0.002181586,-0.000874371
0,0,-0.002188619,-0.000876974
0,0,-0.002195563,-0.000879542
0,0,-0.002202419,-0.000882076
0,0,-0.002209186,-0.000884575
0,0,-0.002215864,-0.00088704
0,0,-0.002222455,-0.00088947
