Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,72.484,139.3,1
1,2,1,166.57,214,2
1,3,1,397.18,323.23,3
1,4,1,385.81,316.67,4
1,5,1,287.23,244.6,5
1,6,1,286.73,255.64,6
1,7,1,276.98,249.25,7
1,8,1,280.11,232.86,8
1,9,1,266.95,238.88,9
1,10,1,281.05,204.86,10
1,11,1,294.44,199.04,11
1,12,1,325.27,123.85,12
1,13,1,323.44,112.03,13
1,14,1,312.96,117.84,14
1,15,1,295.85,183.17,15
1,16,1,278.17,190.44,16
1,17,1,43.14,216.65,17
1,18,1,33.61,221,18
1,19,1,55,39.238,19
1,20,1,44.333,54.822,20
1,21,1,151.4,97.365,21
1,22,1,147.25,109.59,22
1,23,1,137.15,97.669,23
1,24,-1,393.73,306.73,24
1,25,-1,269.42,225.28,25
1,26,-1,42.056,41.963,26
1,27,-1,156.48,219.75,27
2,1,1,69.349,140.15,1
2,2,-1,194.88,242.8,2
2,3,-1,313.97,283.87,6
2,4,-1,303.25,280.43,7
2,5,-1,293.8,268.21,9
2,6,-1,307,235.15,10
2,7,1,321.78,229.39,11
2,8,-1,352.66,141.27,13
2,9,-1,340.48,147.39,14
2,10,1,325.55,212.93,15
2,11,1,306.45,221.98,16
2,12,-1,73.173,246.08,17
2,13,-1,61.937,250.48,18
2,14,-1,174.36,139.06,22
2,15,-1,164.49,128.16,23
2,16,-1,298.28,255.12,25
2,17,-1,186.25,249.68,27
2,18,-1,71.691,86.206,28
2,19,-1,119.91,10.146,29
2,20,-1,377.4,320.25,30
2,21,-1,68.482,72.807,31
2,22,-1,80.72,68.96,32
2,23,-1,107.31,12.669,33
3,1,1,71.834,133.6,1
3,2,-1,201.53,234.43,2
3,3,-1,320.97,277.75,6
3,4,-1,309.74,272.32,7
3,5,1,297.17,260.22,9
3,6,-1,313.13,228.07,10
3,7,1,357.07,149,13
3,8,1,346.67,140.29,14
3,9,1,333.44,206.33,15
3,10,-1,311.05,212.83,16
3,11,1,78.904,238.99,17
3,12,-1,66.723,242.64,18
3,13,-1,179.8,129.99,22
3,14,-1,169.34,119.59,23
3,15,-1,304.19,245.75,25
3,16,-1,191.67,242,27
3,17,-1,76.217,77.217,28
3,18,-1,126.81,4.4894,29
